Date,Time,freezing_fog,heavy_snow,light_snow,mist,thunderstorm_haze,thunderstorm_snow,clear_sky,broken_sky,scattered_sky,overcast,snowfall,high_temp_C,low_temp_C,max_windspeed,mean_windspeed,max_rh,mean_rh,mean_visibility
2014-11-01,1310,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1330,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1349,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1410,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1430,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1449,0,0,0,0,0,0,0,0,1,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1510,0,0,0,0,0,0,0,0,1,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1530,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1550,0,0,0,0,0,0,0,0,1,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1609,0,0,0,0,0,0,0,0,1,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1630,0,0,0,0,0,0,0,0,1,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1650,0,0,0,0,0,0,0,0,1,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1710,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1729,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1750,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1810,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1830,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1850,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1909,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1930,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,1950,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,2009,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,2030,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,2049,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,2110,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
2014-11-01,2130,0,0,0,0,0,0,1,0,0,0,0.0,5.0,-1.0,37.0,18.2702702703,96.0,88.4305555556,10.0
