FormattedDate,away_WP,to_WP,day_of_week,skiers
12/22/12,3570,5142,5,2922
12/23/12,3989,3784,6,4494
12/24/12,3259,3069,0,4289
12/25/12,2526,2573,1,4099
12/26/12,4084,5026,2,4146
12/27/12,4022,5183,3,5088
12/28/12,5002,6651,4,6249
12/29/12,5407,6092,5,7898
12/30/12,5443,4805,6,8583
12/31/12,4031,4050,0,7945
1/1/13,6971,3616,1,7964
1/2/13,4260,3422,2,4609
1/3/13,3783,3768,3,3771
1/4/13,4313,5621,4,3756
1/5/13,5692,5289,5,5064
1/6/13,6573,3779,6,4661
1/7/13,3051,2336,0,1867
1/8/13,2328,2210,1,1152
1/9/13,2386,2336,2,1034
1/10/13,2558,2749,3,984
1/11/13,2599,4453,4,1175
1/12/13,3147,3457,5,3029
1/13/13,5051,2393,6,3339
1/14/13,2060,1698,0,681
1/15/13,1830,1781,1,319
1/16/13,2255,2405,2,270
1/17/13,2393,2981,3,420
1/18/13,3096,6813,4,1008
1/19/13,4526,6207,5,4725
1/20/13,6446,4043,6,6406
1/21/13,6284,2727,0,4003
1/22/13,2344,2016,1,446
1/23/13,2055,2134,2,118
1/24/13,1998,2529,3,197
1/25/13,2195,5652,4,728
1/26/13,4269,5001,5,4185
1/27/13,7131,2912,6,4917
1/28/13,2332,1724,0,698
1/29/13,1944,2004,1,90
1/30/13,1936,2100,2,150
1/31/13,2116,2718,3,314
2/1/13,3031,6329,4,916
2/2/13,5237,5933,5,4214
2/3/13,7605,4279,6,4910
2/4/13,3407,2760,0,1584
2/5/13,3019,2362,1,937
2/6/13,2342,2373,2,280
2/7/13,2277,2897,3,311
2/8/13,2923,6500,4,931
2/9/13,4110,5160,5,4508
2/10/13,8294,3996,6,5558
2/11/13,3100,2261,0,1260
2/12/13,2348,2289,1,421
2/13/13,2333,2493,2,362
2/14/13,2274,3268,3,522
2/15/13,3731,8331,4,1516
2/16/13,4813,6269,5,6116
2/17/13,6977,4311,6,7572
2/18/13,6758,2805,0,4906
2/19/13,3341,2508,1,953
2/20/13,2208,2323,2,120
2/21/13,1787,2485,3,235
2/22/13,2892,6167,4,933
2/23/13,4993,5576,5,4208
2/24/13,5898,2185,6,4791
2/25/13,3214,2158,0,1078
2/26/13,1963,1777,1,22
2/27/13,2634,2726,2,-164
2/28/13,2513,3477,3,-72
3/1/13,3496,7437,4,892
3/2/13,5234,5784,5,4833
3/3/13,8610,3639,6,5383
3/4/13,2793,2162,0,412
3/5/13,2449,2412,1,-219
3/6/13,2555,2599,2,-256
3/7/13,2529,3535,3,-212
3/8/13,3039,8765,4,794
3/9/13,2503,3210,5,6520
3/10/13,2030,0,6,4490
3/11/13,5456,2818,0,1852
3/12/13,2403,2408,1,1857
3/13/13,2871,2822,2,1808
3/14/13,2916,3004,3,1896
3/15/13,3538,5475,4,3833
3/16/13,4194,4785,5,4424
3/17/13,5748,3284,6,1960
3/18/13,2861,2469,0,1568
3/19/13,2622,2430,1,1376
3/20/13,2709,2564,2,1231
3/21/13,2633,2829,3,1427
3/22/13,3140,5350,4,3637
3/23/13,2627,3304,5,4314
3/24/13,5139,3542,6,2717
3/25/13,3147,3009,0,2579
3/26/13,3222,3115,1,2472
3/27/13,3528,3499,2,2443
3/28/13,3529,3909,3,2823
3/29/13,4042,4728,4,3509
3/30/13,4558,3620,5,2571
3/31/13,4515,2400,6,456
4/1/13,2534,2004,0,-74
4/2/13,1958,1872,1,-160
4/3/13,2123,2136,2,-147
4/4/13,2488,2515,3,-120
4/5/13,2544,3470,4,806
4/6/13,3081,3253,5,978
4/7/13,4163,2097,6,-1088
4/8/13,1927,1617,0,-1398
4/9/13,1045,1003,1,-1440
4/10/13,1767,1732,2,-1475
4/11/13,1754,2096,3,-1133
4/12/13,2133,3545,4,279
4/13/13,2723,3084,5,640
4/14/13,4079,2304,6,-1135
4/15/13,1052,1143,0,-1044
4/16/13,2062,1982,1,-1124
4/17/13,1685,1672,2,-1137
4/18/13,2211,2459,3,-889
4/19/13,2922,4906,4,1095
4/20/13,3417,4422,5,2100
4/21/13,6391,3359,6,-932
,,,,
