,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot,day_0.0,day_1.0,day_2.0,day_3.0,day_4.0,day_5.0,day_6.0,month_1,month_2,month_3,month_4,month_11,month_12,vet_day,thanksgiv,xmas,new_years,mlk_day,pres_day,new_years_sat,mlk_sat,new_years_sun,mlk_sun,new_years_fri,mlk_fri,new_years_mon,mlk_mon,spring_break,spring_break_ends
2011-11-10,573.576923077,0.0,15.0,0.0,0.0,0.0,0.0,7.13057324841,2.01234567901,3.03726708075,4.075,5.08490566038,6.11392405063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2011-11-11,573.576923077,1.00914634146,41.5152439024,75.7865853659,13.9115853659,43.262195122,83.9451219512,7.13057324841,2.01234567901,3.03726708075,4.075,5.08490566038,6.11392405063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2011-11-12,0.0,0.0,18.0,0.0,0.0,0.0,0.0,7.13057324841,2.01234567901,3.03726708075,4.075,5.08490566038,6.11392405063,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2011-11-13,44.0,1.0,18.0,0.0,0.0,0.0,1.0,7.13057324841,0.0,3.03726708075,4.075,5.08490566038,6.11392405063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2011-11-14,-1467.0,3.0,18.0,0.0,0.0,0.0,4.0,7.13057324841,1.0,1.0,4.075,5.08490566038,6.11392405063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2011-11-15,-1580.0,0.0,18.0,0.0,0.0,0.0,4.0,7.13057324841,4.0,4.0,4.0,5.08490566038,6.11392405063,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2011-11-16,-1315.0,1.0,18.0,0.0,0.0,0.0,5.0,7.13057324841,3.0,4.0,4.0,4.0,6.11392405063,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2011-11-17,-1202.0,1.0,18.0,0.0,0.0,0.0,6.0,7.13057324841,1.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2011-11-18,-1176.0,0.0,18.0,0.0,0.0,0.0,6.0,6.0,2.0,2.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2011-11-19,23.0,1.0,18.0,0.0,0.0,0.0,7.0,6.0,1.0,2.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,739,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
