,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot,day_0.0,day_1.0,day_2.0,day_3.0,day_4.0,day_5.0,day_6.0,month_1,month_2,month_3,month_4,month_11,month_12,vet_day,thanksgiv,xmas,new_years,mlk_day,pres_day,new_years_sat,mlk_sat,new_years_sun,mlk_sun,new_years_fri,mlk_fri,new_years_mon,mlk_mon,spring_break,spring_break_ends
2013-11-13,0.0,2.121875,59.25,117.071875,18.640625,81.94375,193.06875,14.8376623377,4.29113924051,6.39171974522,8.45192307692,10.6282051282,12.7096774194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2013-11-14,132.0,2.121875,59.25,117.071875,18.640625,81.94375,193.06875,14.8376623377,4.29113924051,6.39171974522,8.45192307692,10.6282051282,12.7096774194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2013-11-15,341.0,0.0,18.0,3.0,3.0,3.0,0.0,14.8376623377,4.29113924051,6.39171974522,8.45192307692,10.6282051282,12.7096774194,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2013-11-16,1675.0,4.0,18.0,3.0,3.0,3.0,4.0,14.8376623377,4.29113924051,6.39171974522,8.45192307692,10.6282051282,12.7096774194,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2013-11-17,1881.0,12.0,24.0,3.0,3.0,3.0,16.0,14.8376623377,4.0,6.39171974522,8.45192307692,10.6282051282,12.7096774194,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2013-11-18,-28.0,7.0,18.0,3.0,3.0,3.0,23.0,14.8376623377,16.0,16.0,8.45192307692,10.6282051282,12.7096774194,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2013-11-19,-247.0,0.0,18.0,10.0,3.0,2.0,23.0,14.8376623377,13.0,21.0,23.0,23.0,12.7096774194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2013-11-20,-223.0,2.121875,59.25,117.071875,18.640625,81.94375,193.06875,14.8376623377,4.29113924051,6.39171974522,8.45192307692,10.6282051282,12.7096774194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2013-11-21,-291.0,1.0,18.0,10.0,3.0,7.0,24.0,14.8376623377,0.0,7.0,19.0,23.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2013-11-22,-268.0,3.0,18.0,10.0,3.0,7.0,27.0,24.0,1.0,1.0,8.0,20.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
