FormattedDate,away_WP,to_WP,day_of_week,skiers
2014-11-15,1695,1964,5,0.0
2014-11-16,3390,1489,6,269.0
2014-11-17,1716,1493,0,-1632.0
2014-11-18,1544,1531,1,-1855.0
2014-11-19,1702,1714,2,-1868.0
2014-11-20,1692,1861,3,-1856.0
2014-11-21,1965,3287,4,-1687.0
2014-11-22,2360,3125,5,-365.0
2014-11-23,2857,1940,6,400.0
2014-11-24,1952,1965,0,-517.0
2014-11-25,2010,2337,1,-504.0
2014-11-26,2654,4467,2,-177.0
2014-11-27,1843,2738,3,1636.0
2014-11-28,3906,5106,4,2531.0
2014-11-29,5075,3274,5,3731.0
2014-11-30,5192,1914,6,1930.0
2014-12-01,1995,1564,0,-1348.0
2014-12-02,1694,1688,1,-1779.0
2014-12-03,1676,1725,2,-1785.0
2014-12-04,1765,2024,3,-1736.0
2014-12-05,2008,3937,4,-1477.0
2014-12-06,3818,4376,5,452.0
2014-12-07,4686,2455,6,1010.0
2014-12-08,1941,1680,0,-1221.0
2014-12-09,1745,1673,1,-1482.0
2014-12-10,1860,1869,2,-1554.0
2014-12-11,1918,2112,3,-1545.0
2014-12-12,2146,3909,4,-1351.0
2014-12-13,3287,3720,5,412.0
2014-12-14,4191,2490,6,845.0
2014-12-15,2765,2395,0,-856.0
2014-12-16,2183,2228,1,-1226.0
2014-12-17,2186,2275,2,-1181.0
2014-12-19,3046,5245,4,-1092.0
2014-12-20,3949,5553,5,1107.0
2014-12-21,4562,3840,6,2711.0
2014-12-22,3491,3580,0,1989.0
2014-12-23,3995,4154,1,2078.0
2014-12-24,3370,4095,2,2237.0
2014-12-25,2445,3502,3,2962.0
2014-12-26,3477,5225,4,4019.0
2014-12-27,5310,5478,5,5767.0
2014-12-28,5459,4136,6,5935.0
2014-12-29,3801,3297,0,4612.0
2014-12-30,3191,3392,1,4108.0
2014-12-31,3832,5651,2,4309.0
2015-01-01,5268,4362,3,6128.0
2015-01-02,6694,5702,4,5222.0
2015-01-03,6661,4072,5,4230.0
2015-01-04,6684,3012,6,1641.0
2015-01-05,3420,2342,0,-2031.0
2015-01-06,2628,2394,1,-3109.0
2015-01-07,2326,2282,2,-3343.0
2015-01-08,2647,2833,3,-3387.0
2015-01-09,2698,5162,4,-3201.0
2015-01-10,4990,4706,5,-737.0
2015-01-11,6317,2781,6,-1021.0
2015-01-12,2514,1932,0,-4557.0
2015-01-13,1935,1884,1,-5139.0
2015-01-15,2597,3221,3,-5190.0
2015-01-16,3100,7282,4,-4566.0
2015-01-17,4266,6008,5,-384.0
2015-01-18,6615,4023,6,1358.0
2015-01-19,6871,2849,0,-1234.0
2015-01-20,2294,2081,1,-5256.0
2015-01-21,2135,2238,2,-5469.0
2015-01-22,2591,3471,3,-5366.0
2015-01-23,2947,7114,4,-4486.0
2015-01-24,5349,6002,5,-319.0
2015-01-25,8318,3779,6,334.0
2015-01-26,2989,1987,0,-4205.0
2015-01-27,2111,2008,1,-5207.0
2015-01-28,2064,2191,2,-5310.0
2015-01-29,2091,2900,3,-5183.0
2015-01-30,2659,6595,4,-4374.0
2015-01-31,4451,4915,5,-438.0
2015-02-01,7561,3364,6,26.0
2015-02-02,2815,1784,0,-4171.0
2015-02-03,2145,2135,1,-5202.0
2015-02-04,1900,2092,2,-5212.0
2015-02-05,3128,3998,3,-5020.0
2015-02-06,3238,7332,4,-4150.0
2015-02-07,5221,5771,5,-56.0
2015-02-08,8542,3553,6,494.0
2015-02-09,2858,1966,0,-4495.0
2015-02-10,1908,1954,1,-5387.0
2015-02-11,2314,2532,2,-5341.0
2015-02-12,2488,3832,3,-5123.0
2015-02-13,3467,7733,4,-3779.0
2015-02-14,3955,5297,5,487.0
2015-02-15,6259,3424,6,1829.0
2015-02-16,6074,2352,0,-1006.0
2015-02-17,3273,2519,1,-4728.0
2015-02-18,2603,2755,2,-5482.0
2015-02-19,2657,3518,3,-5330.0
2015-02-20,3004,8018,4,-4469.0
2015-02-21,3906,4102,5,545.0
2015-02-22,6860,2239,6,741.0
2015-02-23,3305,2226,0,-3880.0
2015-02-24,2628,2596,1,-4959.0
2015-02-25,2179,2208,2,-4991.0
2015-02-26,2132,2994,3,-4962.0
2015-02-27,2958,6996,4,-4100.0
2015-02-28,4645,5197,5,-62.0
2015-03-01,8199,3488,6,490.0
2015-03-02,2933,2078,0,-4221.0
2015-03-03,1917,1777,1,-5076.0
2015-03-04,2096,2234,2,-5216.0
2015-03-05,2664,3599,3,-5078.0
2015-03-06,3445,7284,4,-4143.0
2015-03-07,5306,6021,5,-304.0
2015-03-09,3037,2510,0,411.0
2015-03-10,2608,2515,1,-116.0
2015-03-11,2684,2675,2,-209.0
2015-03-12,2726,3010,3,-218.0
2015-03-13,3115,5745,4,66.0
2015-03-14,4671,5461,5,2696.0
2015-03-15,6361,3996,6,3486.0
2015-03-16,3022,2668,0,1121.0
2015-03-17,2503,2293,1,767.0
2015-03-18,2878,2653,2,557.0
2015-03-19,2640,2836,3,332.0
2015-03-20,3605,5306,4,528.0
2015-03-21,4306,4749,5,2229.0
2015-03-22,5422,3384,6,2672.0
2015-03-23,3104,2717,0,634.0
2015-03-24,2881,2745,1,247.0
2015-03-25,3204,3292,2,111.0
2015-03-26,3626,4042,3,199.0
2015-03-27,4033,5394,4,615.0
2015-03-28,4283,4157,5,1976.0
2015-03-29,5425,2720,6,1850.0
2015-03-30,2753,2150,0,-855.0
2015-03-31,2215,2129,1,-1458.0
2015-04-01,2288,2253,2,-1544.0
2015-04-02,1994,2362,3,-1579.0
2015-04-03,3072,4015,4,-1211.0
2015-04-04,3659,3365,5,-268.0
2015-04-05,3776,2019,6,-562.0
2015-04-06,2218,1916,0,-2319.0
2015-04-07,1858,1824,1,-2621.0
2015-04-08,1968,1903,2,-2655.0
2015-04-09,1858,2000,3,-2720.0
2015-04-10,2252,3206,4,-2578.0
2015-04-11,2635,2835,5,-1624.0
2015-04-12,3492,1943,6,-1424.0
2015-04-13,1987,1612,0,-2973.0
2015-04-14,1870,1766,1,-3348.0
2015-04-15,1715,1614,2,-3452.0
2015-04-16,1492,1640,3,-3553.0
2015-04-17,1980,3237,4,-3405.0
2015-04-18,3000,3251,5,-2148.0
2015-04-19,3896,2337,6,-1897.0
2015-04-20,2205,1909,0,-3456.0
2015-04-21,2077,2035,1,-3752.0
2015-04-22,1958,1950,2,-3794.0
2015-04-23,1747,1977,3,-3802.0
2015-04-24,2223,3877,4,-3572.0
2015-04-25,2606,3399,5,-1918.0
2015-04-26,4610,2103,6,-1125.0
