Colorado (PST) SNOTEL Site Berthoud Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Sun Sep 13 21:38:38 PDT 2015. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,SNWD.I-1 (in) ,
335,2014-01-01,,     8.2,      38,
335,2014-01-02,,     9.0,      46,
335,2014-01-03,,     9.0,      42,
335,2014-01-04,,     9.0,      40,
335,2014-01-05,,     9.4,      44,
335,2014-01-06,,     9.6,      43,
335,2014-01-07,,     9.6,      42,
335,2014-01-08,,     9.6,      42,
335,2014-01-09,,     9.9,      47,
335,2014-01-10,,    10.1,      48,
335,2014-01-11,,    10.1,      49,
335,2014-01-12,,    10.4,      46,
335,2014-01-13,,    11.0,      49,
335,2014-01-14,,    11.3,      50,
335,2014-01-15,,    11.4,      48,
335,2014-01-16,,    11.4,      48,
335,2014-01-17,,    11.4,      46,
335,2014-01-18,,    11.4,      46,
335,2014-01-19,,    11.4,      45,
335,2014-01-20,,    11.4,      45,
335,2014-01-21,,    11.4,      44,
335,2014-01-22,,    11.4,      44,
335,2014-01-23,,    11.4,      44,
335,2014-01-24,,    11.4,      44,
335,2014-01-25,,    11.4,      44,
335,2014-01-26,,    11.4,      43,
335,2014-01-27,,    11.4,      43,
335,2014-01-28,,    12.1,      52,
335,2014-01-29,,    12.1,      49,
335,2014-01-30,,    12.4,      49,
335,2014-01-31,,    13.5,      64,
335,2014-02-01,,    13.9,      66,
335,2014-02-02,,    14.0,      64,
335,2014-02-03,,    14.0,      62,
335,2014-02-04,,    14.1,      61,
335,2014-02-05,,    14.2,      60,
335,2014-02-06,,    14.3,      60,
335,2014-02-07,,    14.6,      61,
335,2014-02-08,,    14.9,      63,
335,2014-02-09,,    15.5,      66,
335,2014-02-10,,    16.1,      70,
335,2014-02-11,,    16.3,      72,
335,2014-02-12,,    16.3,      71,
335,2014-02-13,,    16.6,      72,
335,2014-02-14,,    17.2,      75,
335,2014-02-15,,    17.6,      71,
335,2014-02-16,,    17.8,      67,
335,2014-02-17,,    17.9,      68,
335,2014-02-18,,    18.2,      64,
335,2014-02-19,,    18.2,      63,
335,2014-02-20,,    18.3,      63,
335,2014-02-21,,    18.9,      65,
335,2014-02-22,,    18.9,      65,
335,2014-02-23,,    19.0,      67,
335,2014-02-24,,    19.3,      65,
335,2014-02-25,,    19.3,      63,
335,2014-02-26,,    19.3,      63,
335,2014-02-27,,    19.5,      62,
335,2014-02-28,,    19.7,      65,
335,2014-03-01,,    20.0,      67,
335,2014-03-02,,    20.6,      70,
335,2014-03-03,,    20.6,      70,
335,2014-03-04,,    20.6,      68,
335,2014-03-05,,    20.7,      68,
335,2014-03-06,,    20.9,      68,
335,2014-03-07,,    21.0,      68,
335,2014-03-08,,    22.0,      78,
335,2014-03-09,,    22.2,      75,
335,2014-03-10,,    22.3,      73,
335,2014-03-11,,    22.3,      70,
335,2014-03-12,,    22.9,      77,
335,2014-03-13,,    23.0,      73,
335,2014-03-14,,    23.0,      72,
335,2014-03-15,,    23.0,      70,
335,2014-03-16,,    22.8,      70,
