,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2014-11-14,4.0,1632.0,,,,,,,,,,,,
2014-11-15,5.0,1901.0,5.0,18.0,3.0,3.0,3.0,0.0,,,,,,
2014-11-16,6.0,0.0,10.0,18.0,5.0,4.0,4.0,10.0,,,,,,
2014-11-17,0.0,-223.0,0.0,18.0,6.0,4.0,5.0,10.0,,15.0,,,,
2014-11-18,1.0,-236.0,0.0,18.0,7.0,4.0,1.0,10.0,,10.0,15.0,,,
2014-11-19,2.0,-224.0,0.0,18.0,8.0,4.0,6.0,10.0,,0.0,10.0,15.0,,
2014-11-20,3.0,-55.0,0.0,18.0,11.0,4.0,8.0,10.0,,0.0,0.0,10.0,15.0,
2014-11-21,4.0,1267.0,0.0,18.0,11.0,4.0,8.0,10.0,,0.0,0.0,0.0,10.0,15.0
2014-11-22,5.0,2032.0,0.0,18.0,12.0,4.0,9.0,10.0,15.0,0.0,0.0,0.0,0.0,10.0
2014-11-23,6.0,1115.0,6.0,18.0,12.0,4.0,9.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0
2014-11-24,0.0,1128.0,4.0,22.0,12.0,4.0,9.0,20.0,6.0,6.0,6.0,6.0,6.0,6.0
2014-11-25,1.0,1455.0,2.66666666667,22.0,12.0,4.0,9.0,25.3333333333,12.6666666667,7.33333333333,10.6666666667,12.6666666667,12.6666666667,12.6666666667
2014-11-26,2.0,3268.0,8.0,31.0,26.0,8.0,19.0,36.0,18.0,6.0,8.0,12.0,18.0,18.0
2014-11-27,3.0,4163.0,0.0,30.0,26.0,8.0,19.0,36.0,26.0,10.0,14.0,16.0,20.0,26.0
2014-11-28,4.0,5363.0,0.0,29.0,43.0,18.0,31.0,36.0,26.0,8.0,10.0,14.0,16.0,20.0
2014-11-29,5.0,3562.0,0.0,27.0,44.0,18.0,31.0,36.0,20.0,0.0,8.0,10.0,14.0,16.0
2014-11-30,6.0,284.0,0.0,26.0,43.0,18.0,31.0,36.0,16.0,0.0,0.0,8.0,10.0,14.0
2014-12-01,0.0,-147.0,0.0,25.0,43.0,18.0,31.0,36.0,14.0,0.0,0.0,0.0,8.0,10.0
2014-12-02,1.0,-153.0,0.0,24.0,43.0,18.0,31.0,36.0,10.0,0.0,0.0,0.0,0.0,8.0
2014-12-03,2.0,-104.0,0.0,24.0,43.0,18.0,31.0,36.0,8.0,0.0,0.0,0.0,0.0,0.0
2014-12-04,3.0,155.0,0.0,23.0,43.0,15.0,31.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-05,4.0,2084.0,0.0,22.0,43.0,15.0,31.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-06,5.0,2642.0,1.0,22.0,43.0,18.0,31.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-07,6.0,411.0,0.0,22.0,43.0,18.0,31.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-08,0.0,150.0,0.0,22.0,43.0,16.0,31.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-09,1.0,78.0,0.0,22.0,43.0,15.0,31.0,37.0,1.0,0.0,1.0,1.0,1.0,1.0
2014-12-10,2.0,87.0,0.0,22.0,43.0,15.0,31.0,37.0,1.0,0.0,0.0,1.0,1.0,1.0
2014-12-11,3.0,281.0,0.0,22.0,48.0,15.0,34.0,37.0,1.0,0.0,0.0,0.0,1.0,1.0
2014-12-12,4.0,2044.0,0.0,21.0,47.0,15.0,33.0,37.0,1.0,0.0,0.0,0.0,0.0,1.0
2014-12-13,5.0,2477.0,0.0,21.0,63.0,20.0,45.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-12-14,6.0,776.0,5.5,23.0,68.0,19.0,46.5,44.5,2.0,2.0,2.0,2.0,2.0,2.0
2014-12-15,0.0,406.0,12.0,37.0,71.0,19.0,50.0,66.0,17.0,15.0,17.0,17.0,17.0,17.0
2014-12-16,1.0,451.0,1.0,34.0,77.0,16.0,54.0,73.0,35.0,24.0,31.0,35.0,35.0,35.0
2014-12-17,2.0,540.0,1.0,33.0,74.0,16.0,52.0,74.0,36.0,13.0,25.0,32.0,36.0,36.0
2014-12-18,3.0,767.0,3.0,34.0,85.0,16.0,60.0,77.0,37.0,2.0,14.0,26.0,33.0,37.0
2014-12-19,4.0,2966.0,6.0,38.0,88.0,18.0,62.0,83.0,40.0,4.0,5.0,17.0,29.0,36.0
2014-12-20,5.0,4570.0,0.0,39.0,107.0,23.0,62.0,83.0,42.0,9.0,10.0,11.0,23.0,35.0
2014-12-21,6.0,3848.0,2.0,36.0,108.0,22.0,76.0,85.0,35.0,6.0,9.0,10.0,11.0,23.0
2014-12-22,0.0,3937.0,9.0,45.0,109.0,22.0,77.0,94.0,25.0,2.0,8.0,11.0,12.0,13.0
2014-12-23,1.0,4096.0,6.0,45.0,110.0,22.0,77.0,100.0,22.0,11.0,11.0,17.0,20.0,21.0
2014-12-24,2.0,4821.0,0.0,46.0,111.0,22.0,78.0,100.0,27.0,15.0,17.0,17.0,23.0,26.0
2014-12-25,3.0,5878.0,0.0,47.0,115.0,22.0,81.0,100.0,26.0,6.0,15.0,17.0,17.0,23.0
2014-12-26,4.0,7626.0,3.0,44.0,115.0,22.0,81.0,103.0,23.0,0.0,6.0,15.0,17.0,17.0
2014-12-27,5.0,7794.0,2.0,42.0,119.0,23.0,81.0,105.0,20.0,3.0,3.0,9.0,18.0,20.0
2014-12-28,6.0,6471.0,0.0,43.0,120.0,24.0,84.0,105.0,22.0,5.0,5.0,5.0,11.0,20.0
2014-12-29,0.0,5967.0,6.0,46.0,118.0,22.0,83.0,111.0,20.0,2.0,5.0,5.0,5.0,11.0
2014-12-30,1.0,6168.0,0.0,46.0,118.0,22.0,83.0,111.0,17.0,6.0,8.0,11.0,11.0,11.0
2014-12-31,2.0,7987.0,0.0,44.0,119.0,22.0,84.0,111.0,11.0,6.0,6.0,8.0,11.0,11.0
2015-01-01,3.0,7081.0,0.0,42.0,125.0,23.0,88.0,111.0,11.0,0.0,6.0,6.0,8.0,11.0
2015-01-02,4.0,6089.0,0.0,42.0,124.0,23.0,87.0,111.0,11.0,0.0,0.0,6.0,6.0,8.0
2015-01-03,5.0,3500.0,2.0,42.0,126.0,24.0,89.0,113.0,8.0,0.0,0.0,0.0,6.0,6.0
2015-01-04,6.0,-172.0,4.0,45.0,131.0,24.0,89.0,117.0,8.0,2.0,2.0,2.0,2.0,8.0
2015-01-05,0.0,-1250.0,1.0,45.0,131.0,20.0,92.0,118.0,12.0,6.0,6.0,6.0,6.0,6.0
2015-01-06,1.0,-1484.0,0.0,45.0,131.0,20.0,92.0,118.0,7.0,5.0,7.0,7.0,7.0,7.0
2015-01-07,2.0,-1528.0,0.0,44.0,131.0,19.0,92.0,118.0,7.0,1.0,5.0,7.0,7.0,7.0
2015-01-08,3.0,-1342.0,0.0,42.0,131.0,19.0,92.0,118.0,7.0,0.0,1.0,5.0,7.0,7.0
2015-01-09,4.0,1122.0,0.0,42.0,131.0,19.0,92.0,118.0,7.0,0.0,0.0,1.0,5.0,7.0
2015-01-10,5.0,838.0,0.0,41.0,130.0,25.0,91.0,118.0,7.0,0.0,0.0,0.0,1.0,5.0
2015-01-11,6.0,-2698.0,0.0,41.0,130.0,25.0,91.0,118.0,5.0,0.0,0.0,0.0,0.0,1.0
2015-01-12,0.0,-3280.0,4.0,44.0,130.0,19.0,91.0,122.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-01-13,1.0,-3331.0,0.0,43.0,130.0,19.0,91.0,122.0,4.0,4.0,4.0,4.0,4.0,4.0
2015-01-14,2.0,-3241.0,0.0,43.0,130.0,19.0,91.0,122.0,4.0,4.0,4.0,4.0,4.0,4.0
2015-01-15,3.0,-2617.0,0.0,42.0,130.0,19.0,91.0,122.0,4.0,0.0,4.0,4.0,4.0,4.0
2015-01-16,4.0,1565.0,0.0,41.0,130.0,19.0,91.0,122.0,4.0,0.0,0.0,4.0,4.0,4.0
2015-01-17,5.0,3307.0,0.0,41.0,130.0,25.0,91.0,122.0,4.0,0.0,0.0,0.0,4.0,4.0
2015-01-18,6.0,715.0,1.0,44.0,130.0,24.0,91.0,123.0,4.0,0.0,0.0,0.0,0.0,4.0
2015-01-19,0.0,-3307.0,0.0,43.0,130.0,20.0,91.0,123.0,5.0,1.0,1.0,1.0,1.0,1.0
