,away_WP,to_WP,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
11/13/11,2882,1371,6,958,1,18,0,0,0,1,9.1,2.6,3.9,5.2,6.5,7.8
11/14/11,1720,1607,0,845,1,18,0,0,0,4,9.1,2,3.9,5.2,6.5,7.8
11/15/11,1539,1804,1,732,1,18,0,0,0,4,9.1,2,3,5.2,6.5,7.8
11/16/11,1695,1808,2,997,1,18,0,0,0,5,9.1,2,3,4,6.5,7.8
11/17/11,1890,1916,3,1110,1,18,0,0,0,6,9.1,2,3,4,5,7.8
11/18/11,2008,3207,4,1136,0,18,0,0,0,6,9.1,1,2,3,4,5
11/19/11,1922,2637,5,2335,1,18,0,0,0,7,6,1,2,3,4,5
11/20/11,3566,2282,6,3050,4,18,0,0,0,11,9,5,5,6,7,8
11/21/11,2202,2113,0,1766,0,18,0,0,0,11,8,4,5,5,6,7
11/22/11,2294,2664,1,1677,2,18,0,0,0,13,9,2,6,7,7,8
11/23/11,2723,4357,2,2047,0,18,0,0,0,13,8,2,2,6,7,7
11/24/11,1911,2704,3,3681,0,18,0,0,0,13,7,0,2,2,6,7
11/25/11,3131,4319,4,4474,0,18,0,0,0,13,7,0,0,2,2,6
11/26/11,4287,2846,5,5662,3,18,0,0,0,16,9,3,3,3,5,5
11/27/11,3029,0,6,4221,0,18,0,0,0,16,5,3,3,3,3,5
11/28/11,1976,1570,0,1192,0,18,0,0,0,16,5,0,3,3,3,3
11/29/11,1696,1719,1,786,0,18,0,0,0,16,3,0,0,3,3,3
11/30/11,1851,1892,2,809,0,18,0,0,0,16,3,0,0,0,3,3
12/1/11,1181,1335,3,850,0,18,0,0,0,16,3,0,0,0,0,3
12/2/11,1891,3517,4,1004,0,18,0,0,0,16,3,0,0,0,0,0
12/3/11,2467,2795,5,2630,0,18,0,0,0,16,0,0,0,0,0,0
12/4/11,3790,2065,6,2958,3,18,0,0,0,19,3,3,3,3,3,3
12/5/11,1660,1540,0,1233,1,18,0,0,0,20,4,4,4,4,4,4
12/6/11,1703,1698,1,1113,0,18,18,6,7,20,4,1,4,4,4,4
12/7/11,1866,1894,2,1108,0,18,17,6,7,20,4,0,1,4,4,4
12/8/11,1728,1979,3,1136,0,18,17,6,7,20,4,0,0,1,4,4
12/9/11,2074,3536,4,1387,1,18,19,6,7,21,5,1,1,1,2,5
12/10/11,3360,3585,5,2849,0,18,21,8,7,21,5,1,1,1,1,2
12/11/11,4003,2293,6,3074,0,18,21,7,7,21,2,0,1,1,1,1
12/12/11,2008,1843,0,1364,0,18,21,6,7,21,1,0,0,1,1,1
12/13/11,1761,1785,1,1199,0,18,22,8,7,21,1,0,0,0,1,1
12/14/11,1803,1825,2,1223,1,18,23,8,8,22,2,1,1,1,1,2
12/15/11,1980,2257,3,1245,3,21,23,8,8,25,5,4,4,4,4,4
12/16/11,2433,4203,4,1522,0,21,32,12,12,25,4,3,4,4,4,4
12/17/11,3240,4195,5,3292,0,21,31,13,15,25,4,0,3,4,4,4
12/18/11,3959,3141,6,4247,0,21,34,14,15,25,4,0,0,3,4,4
12/19/11,2866,2724,0,3429,0,21,37,14,15,25,4,0,0,0,3,4
12/20/11,2817,3029,1,3287,0,21,37,13,15,25,4,0,0,0,0,3
12/21/11,3232,3261,2,3499,0,21,37,13,15,25,3,0,0,0,0,0
12/22/11,2247,2653,3,3528,6,26,38,13,15,31,6,6,6,6,6,6
