,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2013-11-13,2.0,0.0,,,,,,,,,,,,
2013-11-14,3.0,132.0,,,,,,,,,,,,
2013-11-15,4.0,341.0,0.0,18.0,3.0,3.0,3.0,0.0,,,,,,
2013-11-16,5.0,1675.0,4.0,18.0,3.0,3.0,3.0,4.0,,,,,,
2013-11-17,6.0,1881.0,12.0,24.0,3.0,3.0,3.0,16.0,,4.0,,,,
2013-11-18,0.0,-28.0,7.0,18.0,3.0,3.0,3.0,23.0,,16.0,16.0,,,
2013-11-19,1.0,-247.0,0.0,18.0,10.0,3.0,2.0,23.0,,13.0,21.0,23.0,23.0,
2013-11-20,2.0,-223.0,,,,,,,,,,,,
2013-11-21,3.0,-291.0,1.0,18.0,10.0,3.0,7.0,24.0,,0.0,7.0,19.0,23.0,23.0
2013-11-22,4.0,-268.0,3.0,18.0,10.0,3.0,7.0,27.0,24.0,1.0,1.0,8.0,20.0,24.0
2013-11-23,5.0,1025.0,1.0,19.0,11.0,4.0,3.0,28.5,25.5,4.0,4.5,4.5,8.0,17.5
2013-11-24,6.0,1955.0,0.0,18.0,12.0,4.0,3.0,29.0,13.0,2.0,5.0,6.0,6.0,6.0
2013-11-25,0.0,1070.0,2.0,18.0,13.0,3.0,10.0,31.0,6.0,1.0,2.0,5.0,6.0,6.0
2013-11-26,1.0,1026.0,0.0,18.0,25.0,8.0,10.0,31.0,8.0,2.0,3.0,4.0,7.0,8.0
2013-11-27,2.0,1380.0,0.0,23.0,30.0,8.0,21.0,31.0,8.0,2.0,2.0,3.0,4.0,7.0
2013-11-28,3.0,2933.0,0.0,22.0,31.0,9.0,22.0,31.0,7.0,0.0,2.0,2.0,3.0,4.0
2013-11-29,4.0,3663.0,0.0,22.0,37.0,9.0,26.0,31.0,4.0,0.0,0.0,2.0,2.0,3.0
2013-11-30,5.0,4840.0,0.0,22.0,48.0,13.0,26.0,31.0,3.0,0.0,0.0,0.0,2.0,2.0
2013-12-01,6.0,3260.0,0.0,22.0,49.0,16.0,35.0,31.0,2.0,0.0,0.0,0.0,0.0,2.0
2013-12-02,0.0,77.0,1.0,22.0,50.0,14.0,35.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0
2013-12-03,1.0,-309.0,2.0,23.0,45.0,12.0,32.0,34.0,1.0,1.0,1.0,1.0,1.0,1.0
2013-12-04,2.0,-93.0,4.0,26.0,46.0,11.0,33.0,38.0,3.0,3.0,3.0,3.0,3.0,3.0
