,day_of_week,skiers,new_24,basedepth,open_trails,open_lifts,open_percent,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2012-11-14,2.0,0.0,0.0,18.0,4.0,3.0,3.0,0.0,,,,,,
2012-11-15,3.0,86.0,0.0,18.0,4.0,3.0,3.0,0.0,,,,,,
2012-11-16,4.0,253.0,0.0,18.0,4.0,3.0,3.0,0.0,,0.0,,,,
2012-11-17,5.0,1376.0,1.0,18.0,4.0,3.0,3.0,1.0,,0.0,0.0,,,
2012-11-18,6.0,1922.0,0.0,18.0,5.0,3.0,4.0,1.0,,1.0,1.0,1.0,,
2012-11-19,0.0,616.0,0.0,18.0,5.0,3.0,4.0,1.0,,1.0,1.0,1.0,1.0,
2012-11-20,1.0,604.0,0.0,18.0,2.0,1.0,2.0,1.0,,0.0,1.0,1.0,1.0,1.0
2012-11-21,2.0,1021.0,,,,,,,,,,,,
2012-11-22,3.0,2510.0,0.0,18.0,3.5,4.0,3.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0
2012-11-23,4.0,3192.0,,,,,,,,,,,,
2012-11-24,5.0,4004.0,0.0,18.0,5.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2012-11-25,6.0,2524.0,0.0,18.0,5.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2012-11-26,0.0,-102.0,,,,,,,,,,,,
2012-11-27,1.0,-468.0,0.0,18.0,5.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-28,2.0,-447.0,,,,,,,,,,,,
2012-11-29,3.0,-389.0,,,,,,,,,,,,
2012-11-30,4.0,-312.0,0.0,18.0,6.5,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,5.0,853.0,0.0,18.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-02,6.0,1237.0,0.0,18.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-03,0.0,-207.0,1.0,18.0,7.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-04,1.0,-317.0,0.0,18.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-12-05,2.0,-337.0,0.0,18.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
2012-12-06,3.0,-400.0,0.0,18.0,7.0,10.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0
2012-12-07,4.0,-224.0,1.0,18.0,7.0,5.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0
2012-12-08,5.0,1128.0,7.0,18.0,7.0,5.0,1.0,10.0,2.0,1.0,1.0,1.0,2.0,2.0
2012-12-09,6.0,1691.0,7.0,18.0,9.0,10.0,2.0,17.0,9.0,8.0,8.0,8.0,8.0,9.0
2012-12-10,0.0,-35.0,0.0,18.0,10.0,6.0,2.0,17.0,16.0,14.0,15.0,15.0,15.0,15.0
2012-12-11,1.0,-205.0,3.0,29.0,14.0,7.0,2.0,20.0,15.0,7.0,14.0,15.0,15.0,15.0
2012-12-12,2.0,-137.0,0.0,27.0,18.0,6.0,2.0,20.0,18.0,3.0,10.0,17.0,18.0,18.0
2012-12-13,3.0,-112.0,0.0,27.0,28.0,10.0,10.0,20.0,18.0,3.0,3.0,10.0,17.0,18.0
2012-12-14,4.0,110.0,0.0,26.0,34.0,10.0,10.0,20.0,18.0,0.0,3.0,3.0,10.0,17.0
2012-12-15,5.0,1682.0,2.0,25.0,37.0,11.0,11.0,22.0,17.0,0.0,0.0,3.0,3.0,10.0
2012-12-16,6.0,2261.0,6.0,30.0,38.0,11.0,11.0,28.0,12.0,2.0,2.0,2.0,5.0,5.0
2012-12-17,0.0,574.0,4.0,32.0,39.0,11.0,11.0,32.0,11.0,8.0,8.0,8.0,8.0,11.0
2012-12-18,1.0,264.0,8.0,36.0,42.0,11.0,15.0,40.0,15.0,10.0,12.0,12.0,12.0,12.0
