COUNTSTATIONID,COUNTDIR,COUNTDATE,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000223,S,20141208,17,3,3,5,22,117,50,63,112,114,135,119,102,109,106,87,132,115,66,64,50,43,30,19,12/08/2014
000223,P,20141209,3,1,2,1,7,18,49,67,75,123,122,129,125,138,144,160,227,124,113,47,36,19,8,9,12/09/2014
000223,S,20141209,6,6,6,2,24,129,44,62,115,151,144,93,89,76,94,120,105,115,82,63,69,35,33,16,12/09/2014
000223,P,20141210,5,2,0,3,3,19,59,62,83,119,141,104,126,114,151,177,302,148,128,43,26,25,10,10,12/10/2014
000223,S,20141210,14,5,2,6,30,155,53,92,105,137,135,132,103,109,111,144,123,111,85,76,60,41,33,9,12/10/2014
000223,P,20141211,3,1,4,2,6,19,56,63,94,124,119,133,118,167,179,174,237,180,124,55,30,16,15,3,12/11/2014
000223,S,20141211,7,11,7,4,26,137,47,88,119,148,166,136,106,107,133,137,152,154,121,79,96,64,34,40,12/11/2014
000223,P,20141212,5,4,5,2,3,21,45,61,79,140,154,204,147,150,178,235,240,196,155,64,21,15,18,9,12/12/2014
000223,S,20141212,17,9,6,5,25,100,47,112,157,198,186,168,192,182,220,237,339,406,358,325,292,190,81,63,12/12/2014
000223,P,20141213,6,4,4,2,13,9,42,49,75,133,168,166,229,264,336,452,550,345,217,94,48,52,21,12,12/13/2014
000223,S,20141213,29,16,10,11,18,56,61,414,381,285,343,309,264,227,163,217,197,196,142,114,98,82,59,38,12/13/2014
000223,P,20141214,14,4,7,5,7,8,28,44,57,129,289,330,382,448,501,447,462,371,286,174,114,47,29,15,12/14/2014
000223,S,20141214,32,12,7,10,18,39,31,397,458,238,216,162,171,99,103,93,81,89,67,49,47,33,19,26,12/14/2014
000223,P,20141215,1,4,1,5,8,25,96,92,114,133,159,139,202,274,297,365,354,213,148,64,27,28,7,10,12/15/2014
000223,S,20141215,11,3,3,7,19,99,51,138,364,378,242,169,113,99,97,107,120,99,70,68,46,55,22,18,12/15/2014
000223,P,20141216,4,2,1,3,2,23,54,54,81,112,136,126,158,195,237,271,284,190,134,54,23,18,12,10,12/16/2014
000223,S,20141216,8,10,5,5,23,120,40,86,242,320,257,139,110,97,99,121,122,108,83,81,58,46,40,13,12/16/2014
000223,P,20141217,3,4,0,1,4,18,54,62,102,125,134,146,141,177,206,240,318,203,133,44,25,27,10,9,12/17/2014
000223,S,20141217,16,5,6,4,29,126,63,111,203,275,201,171,124,111,109,113,147,116,89,92,66,48,36,20,12/17/2014
000223,P,20141219,3,7,3,4,6,13,56,41,126,135,167,183,185,266,320,433,469,291,178,67,39,31,17,9,12/19/2014
000223,S,20141219,13,13,7,10,22,102,61,174,406,412,378,266,253,220,291,332,403,421,377,330,363,222,111,65,12/19/2014
000223,P,20141220,7,1,0,3,4,14,34,39,78,131,200,219,253,414,434,546,657,450,233,95,65,41,18,13,12/20/2014
000223,S,20141220,40,25,11,6,19,59,119,658,610,458,383,404,347,329,335,370,334,276,208,152,152,97,113,59,12/20/2014
000223,P,20141221,7,4,3,2,7,15,29,43,103,212,346,405,460,430,572,632,465,385,205,94,73,49,13,11,12/21/2014
000223,S,20141221,28,16,7,11,11,49,77,475,541,342,322,287,293,241,207,212,176,146,129,85,74,49,44,25,12/21/2014
000223,P,20141222,4,5,4,5,4,19,41,61,110,113,136,272,237,356,413,417,459,447,224,77,42,18,16,15,12/22/2014
000223,S,20141222,19,3,8,13,20,108,72,244,462,429,323,278,269,199,232,166,137,131,146,131,73,45,38,42,12/22/2014
000223,P,20141223,6,1,3,3,6,16,42,43,116,176,216,275,301,383,459,594,609,356,233,58,44,24,21,13,12/23/2014
000223,S,20141223,21,13,9,9,24,106,63,263,508,477,407,300,259,226,243,217,194,194,168,129,118,104,76,35,12/23/2014
000223,P,20141224,4,5,3,2,9,26,55,59,107,140,206,277,239,351,370,449,436,261,151,97,47,50,18,11,12/24/2014
000223,S,20141224,30,15,3,14,24,106,56,185,296,391,381,331,291,320,318,330,282,212,153,87,74,75,76,48,12/24/2014
000223,P,20141225,9,5,1,6,4,14,33,28,53,98,155,192,221,289,288,350,309,196,47,59,36,31,13,9,12/25/2014
000223,S,20141225,38,15,6,8,3,8,26,166,302,286,294,277,265,300,285,236,225,163,140,149,115,87,68,46,12/25/2014
000223,P,20141226,4,3,1,3,3,12,31,63,73,148,284,317,350,317,319,380,462,313,183,88,56,41,12,15,12/26/2014
000223,S,20141226,32,18,8,8,19,82,56,200,485,371,298,378,343,386,527,525,448,271,191,181,164,126,69,47,12/26/2014
000223,P,20141227,6,4,3,5,7,23,41,54,99,164,283,427,486,462,504,661,746,588,347,188,94,70,32,19,12/27/2014
000223,S,20141227,27,11,17,11,14,47,82,412,495,412,456,412,413,441,436,418,467,324,164,155,111,84,51,35,12/27/2014
000223,P,20141228,6,7,9,4,5,23,40,55,117,237,466,528,556,666,484,513,415,588,256,253,81,104,34,21,12/28/2014
000223,S,20141228,17,20,9,5,15,42,53,347,413,354,346,357,314,329,283,278,252,175,128,147,106,70,64,21,12/28/2014
000223,P,20141229,5,4,3,3,12,13,73,105,133,193,261,318,364,286,395,357,478,371,195,93,69,38,22,13,12/29/2014
000223,S,20141229,11,10,6,14,13,100,55,156,404,273,252,233,278,256,206,231,185,182,111,121,82,63,36,25,12/29/2014
000223,P,20141230,6,9,5,2,3,27,55,68,103,180,266,297,334,275,269,302,362,262,184,75,48,34,17,13,12/30/2014
000223,S,20141230,21,15,13,8,16,95,64,98,211,187,184,232,228,256,281,289,319,229,179,159,136,92,70,23,12/30/2014
000223,P,20141231,3,4,1,6,13,15,53,75,95,159,222,295,279,289,386,495,597,433,229,89,42,27,11,15,12/31/2014
000223,S,20141231,21,14,6,10,24,108,50,180,395,382,353,385,428,450,500,549,543,433,295,223,146,65,66,31,12/31/2014
000223,P,20150101,3,9,6,8,7,19,56,46,80,150,221,308,457,483,600,644,786,577,354,213,117,76,38,16,01/01/2015
000223,S,20150101,12,19,8,11,22,85,46,307,488,457,422,432,354,300,289,279,223,179,132,97,75,70,41,22,01/01/2015
000223,P,20150102,4,3,1,2,10,32,97,142,214,301,388,489,584,518,622,712,829,806,443,235,128,72,41,22,01/02/2015
000223,S,20150102,16,6,3,8,23,82,64,307,482,482,541,513,486,475,405,357,310,304,236,203,161,122,68,51,01/02/2015
000223,P,20150103,11,7,7,6,18,30,76,147,170,318,420,522,625,621,651,712,707,726,462,164,142,67,46,13,01/03/2015
000223,S,20150103,25,10,9,10,18,60,133,575,526,511,486,327,231,185,192,156,151,138,95,89,45,44,41,24,01/03/2015
000223,P,20150104,9,4,5,5,10,22,55,123,159,349,570,740,696,642,659,666,671,388,281,305,198,85,35,12,01/04/2015
000223,S,20150104,12,15,7,4,15,52,56,464,507,315,223,182,159,154,146,167,147,125,76,68,51,44,20,10,01/04/2015
000223,P,20150105,4,4,1,3,7,29,96,124,147,188,235,252,252,273,353,424,409,321,149,59,35,23,23,10,01/05/2015
000223,S,20150105,10,6,3,5,22,94,39,115,255,315,241,160,130,124,122,140,158,108,78,79,47,31,39,24,01/05/2015
000223,P,20150106,4,3,1,6,13,21,50,60,108,148,159,176,147,187,250,368,392,219,162,76,31,22,16,10,01/06/2015
000223,S,20150106,18,12,6,3,21,130,54,111,230,259,208,200,165,125,115,124,149,156,82,73,58,49,26,26,01/06/2015
000223,P,20150107,7,2,2,1,9,19,53,76,79,126,147,129,124,166,189,258,427,227,149,57,30,33,11,7,01/07/2015
000223,S,20150107,10,8,7,3,21,124,60,81,172,216,218,167,136,120,113,127,172,162,107,70,67,45,54,29,01/07/2015
000223,P,20150108,5,2,4,5,8,20,62,68,104,169,170,144,154,205,258,343,393,245,150,55,34,29,14,10,01/08/2015
000223,S,20150108,15,9,7,6,22,130,61,102,187,250,276,233,163,146,149,166,194,182,159,117,100,79,50,37,01/08/2015
000223,P,20150109,6,5,1,3,8,16,62,92,108,148,160,166,184,174,253,313,392,288,155,69,32,32,23,9,01/09/2015
000223,S,20150109,20,9,7,9,20,109,70,82,223,287,271,231,169,219,242,319,416,587,512,478,441,273,122,53,01/09/2015
000223,P,20150110,4,2,3,4,9,11,67,53,109,161,163,212,281,417,494,724,913,642,295,206,97,72,38,16,01/10/2015
000223,S,20150110,33,14,11,9,19,59,163,565,520,525,490,524,271,214,209,205,197,183,153,117,82,62,52,40,01/10/2015
000223,P,20150111,7,5,3,4,7,11,60,69,165,346,523,561,601,560,556,576,756,518,313,379,207,55,23,15,01/11/2015
000223,S,20150111,9,7,3,11,17,48,59,486,500,281,225,184,138,102,102,90,97,97,80,102,69,39,28,10,01/11/2015
000223,P,20150112,5,1,0,3,14,29,123,135,127,175,171,185,159,199,217,246,292,187,122,62,28,10,17,7,01/12/2015
000223,S,20150112,16,6,3,8,25,102,53,94,179,237,177,150,95,97,104,120,132,96,70,54,36,38,25,18,01/12/2015
000223,P,20150113,5,1,0,3,8,22,46,53,82,111,122,104,123,185,192,237,271,147,117,38,30,17,12,9,01/13/2015
000223,S,20150113,10,9,7,4,15,126,64,84,179,210,155,126,107,78,108,105,129,106,71,63,49,35,34,17,01/13/2015
000223,P,20150115,2,1,5,3,11,27,67,90,115,153,137,140,163,191,287,356,399,175,133,47,43,33,13,11,01/15/2015
000223,S,20150115,7,9,5,10,44,142,86,175,264,319,254,183,130,144,166,209,211,208,157,136,140,122,66,39,01/15/2015
000223,P,20150116,8,5,4,3,10,18,67,70,119,157,195,184,194,232,322,388,527,271,167,48,36,40,27,12,01/16/2015
000223,S,20150116,21,13,6,10,35,118,81,291,417,389,320,275,278,275,372,435,599,719,688,694,679,336,160,77,01/16/2015
000223,P,20150117,6,1,1,5,7,13,42,73,73,126,190,209,220,285,445,613,778,524,334,159,85,46,23,9,01/17/2015
000223,S,20150117,34,14,19,9,41,118,244,431,554,572,555,640,622,394,326,345,304,226,192,126,120,69,41,31,01/17/2015
000223,P,20150118,5,5,5,3,7,19,42,72,132,262,382,470,559,625,771,824,870,574,316,289,232,107,38,11,01/18/2015
000223,S,20150118,14,8,7,7,23,65,207,626,553,572,444,263,191,151,152,122,143,140,102,74,60,37,37,32,01/18/2015
000223,P,20150119,5,6,12,10,17,52,137,177,273,427,671,698,694,634,699,730,647,409,232,173,121,35,16,8,01/19/2015
000223,S,20150119,5,2,6,9,47,118,93,411,427,353,232,202,132,128,105,105,127,105,93,42,44,31,22,16,01/19/2015
000223,P,20150120,1,0,3,4,11,33,77,111,103,151,145,175,146,163,237,250,308,176,118,31,27,17,7,3,01/20/2015
000223,S,20150120,12,7,9,2,46,126,52,164,209,225,188,134,88,99,105,115,135,108,69,66,52,43,23,13,01/20/2015
000223,P,20150121,4,2,1,5,10,21,62,42,106,106,115,138,129,169,223,261,368,178,118,34,15,15,7,7,01/21/2015
000223,S,20150121,11,7,8,10,49,153,58,180,308,252,168,129,98,70,87,144,90,72,80,70,65,67,40,30,01/21/2015
000223,P,20150122,4,2,5,2,16,20,48,63,90,118,133,120,143,206,308,406,486,172,148,38,22,21,17,8,01/22/2015
000223,S,20150122,21,7,6,9,42,143,83,203,332,348,291,177,162,245,155,197,230,180,160,146,146,93,69,32,01/22/2015
000223,P,20150123,3,4,1,3,14,21,63,77,107,117,173,162,167,235,322,458,454,272,166,44,36,18,20,11,01/23/2015
000223,S,20150123,18,10,3,20,42,153,88,272,451,457,359,275,210,253,325,398,566,703,726,639,683,269,139,58,01/23/2015
000223,P,20150124,5,3,2,0,10,20,79,71,99,153,199,212,260,425,653,940,951,563,297,212,89,64,33,11,01/24/2015
000223,S,20150124,34,8,5,13,44,93,461,748,704,647,559,560,386,240,272,255,236,254,145,116,98,54,48,27,01/24/2015
000223,P,20150125,8,8,4,1,10,21,62,94,149,401,595,834,875,896,692,623,592,630,561,494,603,125,30,14,01/25/2015
000223,S,20150125,18,10,7,9,32,63,266,766,607,400,319,228,163,133,139,123,93,131,81,68,50,36,25,19,01/25/2015
000223,P,20150126,11,4,5,7,14,65,185,197,169,208,202,201,190,216,263,292,344,158,135,58,37,19,9,5,01/26/2015
000223,S,20150126,11,5,2,7,40,94,65,99,191,227,182,129,106,88,112,110,144,114,78,69,48,34,20,14,01/26/2015
000223,P,20150127,6,3,1,2,8,25,55,84,88,144,139,155,149,150,211,225,312,135,108,48,28,21,10,5,01/27/2015
000223,S,20150127,8,12,6,6,47,124,57,95,159,200,175,132,118,96,119,132,139,127,78,60,42,42,24,16,01/27/2015
000223,P,20150128,2,0,3,6,3,27,59,67,85,162,147,140,133,158,197,212,307,137,124,37,24,12,15,10,01/28/2015
000223,S,20150128,8,7,4,10,49,141,61,115,200,201,157,145,114,101,134,119,152,124,91,73,71,67,36,15,01/28/2015
000223,P,20150129,3,1,0,1,8,23,61,86,99,122,133,129,119,176,200,246,299,175,117,31,28,17,10,7,01/29/2015
000223,S,20150129,21,7,10,11,38,136,56,142,200,230,177,146,124,151,190,234,252,196,157,131,107,96,64,34,01/29/2015
000223,P,20150130,6,0,2,6,12,19,66,82,105,156,162,171,173,209,279,389,375,190,144,38,33,25,12,7,01/30/2015
000223,S,20150130,14,13,9,13,32,98,68,231,356,353,258,229,221,269,291,412,651,798,664,536,589,261,163,75,01/30/2015
000223,P,20150131,1,2,3,12,5,13,54,56,91,126,164,194,259,360,498,702,820,537,217,168,85,54,24,9,01/31/2015
000223,S,20150131,29,16,6,14,29,92,480,509,630,568,514,285,252,206,231,217,232,199,151,95,71,42,36,17,01/31/2015
000223,P,20150201,6,7,7,3,7,17,43,101,138,334,622,742,877,888,802,905,834,386,230,209,163,207,31,9,02/01/2015
000223,S,20150201,17,11,7,7,21,62,127,691,583,426,305,210,162,134,129,121,111,67,46,25,33,45,16,15,02/01/2015
000223,P,20150202,4,7,2,4,12,53,193,200,183,214,218,195,183,228,241,254,261,144,113,51,27,14,12,4,02/02/2015
000223,S,20150202,8,7,3,7,42,86,42,82,161,164,142,121,87,113,104,110,128,95,78,56,55,43,37,16,02/02/2015
000223,P,20150203,3,1,4,3,8,17,73,75,105,135,153,134,136,171,215,238,312,148,101,55,20,18,14,10,02/03/2015
000223,S,20150203,7,9,5,5,48,137,63,99,192,194,176,137,85,107,100,147,138,133,105,64,63,57,42,27,02/03/2015
000223,P,20150204,6,1,2,5,10,24,54,43,100,99,82,83,113,127,167,220,361,179,130,50,16,17,5,8,02/04/2015
000223,S,20150204,13,11,7,9,54,161,49,122,157,246,155,138,83,85,106,160,125,126,77,54,44,64,29,24,02/04/2015
000223,P,20150205,2,6,2,5,4,26,64,68,104,118,161,156,215,342,409,494,498,214,144,39,21,21,12,5,02/05/2015
000223,S,20150205,20,11,2,16,45,151,69,317,643,426,300,206,194,133,161,188,215,235,158,173,112,115,67,43,02/05/2015
000223,P,20150206,2,2,3,2,10,13,67,83,129,153,141,139,205,286,341,471,559,284,180,59,46,37,23,6,02/06/2015
000223,S,20150206,37,15,8,14,38,118,93,321,512,524,354,301,288,285,366,461,618,719,541,591,675,283,117,61,02/06/2015
000223,P,20150207,6,1,3,3,6,25,62,98,104,159,190,229,282,390,635,807,972,546,284,182,117,74,36,13,02/07/2015
000223,S,20150207,34,13,9,8,30,131,422,820,595,563,571,490,299,239,256,271,260,233,168,137,91,71,39,30,02/07/2015
000223,P,20150208,6,8,4,12,15,30,76,109,187,417,733,823,903,906,919,894,644,714,339,430,267,78,25,7,02/08/2015
000223,S,20150208,19,15,8,7,31,63,287,760,439,331,253,236,127,143,133,138,135,120,94,82,53,41,30,16,02/08/2015
000223,P,20150209,2,3,3,11,11,54,156,161,161,196,256,235,186,194,253,284,297,150,136,45,24,16,14,13,02/09/2015
000223,S,20150209,8,6,7,9,33,94,60,126,200,182,154,115,102,85,95,131,131,127,84,76,54,38,36,20,02/09/2015
000223,P,20150210,3,0,2,3,10,17,69,88,94,129,129,134,100,143,172,216,249,129,112,55,22,16,11,7,02/10/2015
000223,S,20150210,13,9,6,5,41,124,64,97,202,194,131,114,103,89,101,125,144,126,73,64,49,42,31,13,02/10/2015
