new_24,basedepth,open_trails,open_lifts,open_percent,valid_at
0,75,95,8,67,4/26/14 5:43
0,75,101,8,71,4/25/14 5:40
1,91,112,9,79,4/24/14 5:45
0,77,112,9,79,4/23/14 5:55
0,77,112,8,79,4/22/14 5:41
0,77,108,8,76,4/21/14 5:48
2,78,143,21,100,4/20/14 10:28
0,78,143,21,100,4/20/14 5:34
0,78,143,22,100,4/19/14 5:41
0,81,143,19,100,4/18/14 5:32
0,81,143,19,100,4/17/14 8:08
0,81,143,19,100,4/17/14 5:47
2,81,143,19,100,4/16/14 5:43
0,81,143,19,100,4/15/14 5:47
3,81,143,19,100,4/14/14 5:53
1,81,143,22,100,4/13/14 5:40
0,82,143,23,100,4/12/14 5:40
0,83,143,19,100,4/11/14 6:14
0,84,143,19,100,4/10/14 5:51
0,90,143,19,100,4/9/14 5:48
1,92,143,19,100,4/8/14 5:43
2,92,143,19,100,4/7/14 5:34
3,91,143,23,100,4/6/14 5:41
0,90,143,24,100,4/5/14 5:33
3,94,143,19,100,4/4/14 5:39
10,93,143,19,100,4/3/14 5:32
1,87,143,20,100,4/2/14 5:40
1,85,143,19,100,4/1/14 5:51
5,85,143,20,100,3/31/14 5:48
0,84,141,23,99,3/30/14 5:39
1,84,141,24,99,3/29/14 5:27
5,85,141,24,99,3/28/14 5:36
4,80,141,22,99,3/27/14 5:28
0,80,141,22,99,3/26/14 5:37
0,83,141,22,99,3/25/14 5:47
5,82,141,22,99,3/23/14 5:42
0,80,141,25,99,3/22/14 5:30
0,81,141,20,99,3/21/14 5:41
0,83,141,20,99,3/20/14 5:38
2,84,135,20,95,3/19/14 5:48
4,85,135,19,95,3/18/14 5:57
0,82,135,19,95,3/17/14 5:39
1,82,135,23,95,3/16/14 5:39
0,82,135,21,95,3/15/14 5:30
0,83,135,21,95,3/14/14 5:38
0,85,135,19,95,3/13/14 5:29
2,89,135,19,95,3/12/14 6:28
1,89,135,19,95,3/12/14 6:04
2,89,135,20,95,3/11/14 5:57
0,87,135,23,95,3/10/14 5:45
0,87,135,23,95,3/9/14 5:44
12,87,135,19,95,3/8/14 5:32
1,78,135,19,95,3/7/14 5:34
0,81,135,19,95,3/6/14 5:33
5,82,143,19,100,3/5/14 5:57
1,82,143,19,100,3/4/14 5:52
1,82,143,19,100,3/3/14 5:51
7,83,135,24,95,3/2/14 5:40
2,79,135,25,95,3/1/14 5:29
2,79,135,25,0,3/1/14 5:29
7,78,135,19,95,2/28/14 5:34
6.5,78,135,19,0,2/28/14 5:34
0,74,135,19,95,2/27/14 5:37
0,74,135,19,0,2/27/14 5:37
2,75,142,20,100,2/26/14 8:32
1,75,142,20,100,2/26/14 5:54
1,75,142,20,0,2/26/14 5:54
0,77,142,20,100,2/25/14 6:02
0,78,142,20,100,2/24/14 5:46
0,78,142,20,0,2/24/14 5:46
7,76,135,23,95,2/23/14 5:36
1,74,135,25,95,2/22/14 5:37
0.5,76,135,20,0,2/21/14 5:30
6,77,135,20,95,2/20/14 5:34
5.5,77,135,20,0,2/20/14 5:34
0,72,140,20,98,2/19/14 5:43
0,72,140,20,0,2/19/14 5:43
0,75,143,20,100,2/18/14 5:55
0,75,143,20,0,2/18/14 5:55
2,80,135,24,95,2/17/14 5:46
2,80,135,24,0,2/17/14 5:46
0,83,135,24,95,2/16/14 5:39
0,83,135,24,0,2/16/14 5:39
1,83,134,24,100,2/15/14 5:33
7,83,143,19,100,2/14/14 5:47
6.5,83,143,19,0,2/14/14 5:47
6,80,143,20,100,2/13/14 5:47
5.5,80,143,20,0,2/13/14 5:47
0,77,143,20,100,2/12/14 5:52
3,76,143,20,100,2/11/14 6:00
8,76,143,20,100,2/10/14 5:50
6,73,143,23,100,2/9/14 5:48
5.5,73,143,23,0,2/9/14 5:48
4,70,143,20,100,2/8/14 5:43
4,70,143,20,100,2/7/14 5:55
3,66,143,20,100,2/6/14 5:55
2,66,143,20,100,2/5/14 5:55
2,66,135,20,95,2/4/14 5:38
0,67,135,20,95,2/3/14 5:39
0,67,135,20,0,2/3/14 5:39
2,72,135,23,94,2/2/14 5:46
4,70,135,25,94,2/1/14 5:27
4,70,135,25,0,2/1/14 5:27
14,69,134,22,94,1/31/14 13:03
