new_24,basedepth,open_trails,open_lifts,open_percent,valid_at
12,69,121,19,85,1/31/14 5:42
11,60,121,18,85,1/30/14 5:34
0,56,127,18,89,1/29/14 5:48
0,56,127,18,0,1/29/14 5:48
11,56,127,18,89,1/28/14 5:50
1,44,142,18,100,1/27/14 5:48
0.5,44,142,18,0,1/27/14 5:48
0,44,134,23,94,1/26/14 5:34
0,44,134,23,0,1/26/14 5:34
0,44,134,20,94,1/25/14 5:32
0,45,134,19,94,1/24/14 5:35
0,45,134,19,94,1/23/14 5:38
0,45,134,19,0,1/23/14 5:38
0,45,142,19,100,1/22/14 6:10
0,47,142,23,100,1/21/14 5:52
0,47,141,24,99,1/20/14 5:47
0,47,141,24,0,1/20/14 5:47
0,47,134,23,94,1/19/14 5:36
0,47,134,23,0,1/19/14 5:36
0,47,134,23,94,1/18/14 5:38
0,49,134,20,94,1/17/14 5:37
0,50,134,20,94,1/16/14 7:42
0,50,142,20,100,1/16/14 5:37
1,58,141,17,99,1/15/14 6:10
4,56,141,21,99,1/14/14 6:00
9,55,133,21,94,1/13/14 5:55
0,52,132,23,93,1/12/14 5:44
7,52,134,23,94,1/11/14 5:36
7,52,134,23,0,1/11/14 5:36
5,48,135,20,95,1/10/14 5:37
3,45,133,20,94,1/9/14 5:35
2.5,45,133,20,0,1/9/14 5:35
3,45,133,21,94,1/8/14 12:02
0,45,133,21,94,1/7/14 5:58
0,45,133,21,0,1/7/14 5:58
1,45,127,21,89,1/6/14 5:54
4,45,127,23,89,1/5/14 5:51
5,42,126,23,89,1/4/14 6:59
3,42,126,23,0,1/4/14 6:59
2,42,126,23,88,1/4/14 5:36
0,41,125,23,88,1/3/14 5:43
2,45,123,23,87,1/2/14 5:37
8,49,130,22,91,1/1/14 5:53
1,40,129,23,91,12/31/13 5:58
2,39,123,23,87,12/30/13 5:54
2,39,123,23,0,12/30/13 5:54
8,39,123,23,87,12/29/13 5:45
8,39,123,23,0,12/29/13 5:45
0,35,130,23,87,12/28/13 5:40
0,36,123,22,87,12/27/13 5:38
0,37,116,22,82,12/26/13 5:45
0,37,116,22,0,12/26/13 5:45
4,38,116,22,82,12/25/13 5:54
1,38,116,22,82,12/24/13 6:11
4,40,115,22,81,12/23/13 5:55
3.5,40,115,22,0,12/23/13 5:55
6,36,115,22,81,12/22/13 6:02
8,36,107,23,75,12/21/13 5:40
1,28,107,19,75,12/20/13 5:40
0,39,104,19,73,12/19/13 6:01
0,39,104,19,0,12/19/13 6:01
0,30,109,19,77,12/18/13 5:50
0,31,109,19,77,12/17/13 6:08
0,31,109,19,0,12/17/13 6:08
0,31,106,19,75,12/16/13 6:05
2,29,101,20,72,12/15/13 5:47
4,30,102,20,72,12/14/13 5:46
0,27,108,20,76,12/13/13 6:06
0,27,90,18,63,12/12/13 5:42
0,29,85,18,60,12/11/13 5:54
1,29,80,19,56,12/10/13 6:18
0.5,29,80,19,0,12/10/13 6:18
2,29,76,19,54,12/9/13 6:04
3,29,75,21,54,12/8/13 5:45
2.5,29,75,21,0,12/8/13 5:45
1,29,76,21,54,12/7/13 5:47
0,28,67,15,47,12/6/13 5:43
3,29,66,16,23,12/5/13 5:54
4,26,46,11,33,12/4/13 6:05
2,23,45,12,32,12/3/13 5:58
2,23,45,12,0,12/3/13 5:58
1,22,50,14,35,12/2/13 5:54
1,22,50,14,0,12/2/13 5:54
0,22,49,16,35,12/1/13 5:40
0,22,48,13,26,11/30/13 5:44
0,22,37,9,26,11/29/13 5:42
0,22,31,9,22,11/28/13 5:51
0,23,30,8,21,11/27/13 6:00
0,18,25,8,10,11/26/13 5:51
2,18,13,3,10,11/25/13 5:59
1.5,18,13,3,0,11/25/13 5:59
0,18,12,4,3,11/24/13 5:48
0,18,12,4,0,11/24/13 5:48
1,19,11,4,3,11/23/13 5:47
1,19,11,4,3,11/23/13 5:47
3,18,10,3,7,11/22/13 5:45
1,18,10,3,7,11/21/13 5:52
1,18,10,3,0,11/21/13 5:52
0,18,10,3,2,11/19/13 6:11
0,18,10,3,2,11/19/13 6:11
7,18,3,3,3,11/18/13 5:51
6.5,18,3,3,0,11/18/13 5:51
12,24,3,3,3,11/17/13 5:44
12,24,3,3,0,11/17/13 5:44
4,18,3,3,3,11/16/13 5:48
3.5,18,3,3,0,11/16/13 5:48
0,18,3,3,3,11/15/13 7:11
