new_24,basedepth,open_trails,open_lifts,open_percent,valid_at
5,74,97,10,68,4/26/15 5:39
0,72,97,10,68,4/25/15 5:34
0,75,97,9,68,4/24/15 5:31
0,76,99,9,69,4/23/15 5:43
0,79,100,10,70,4/21/15 5:59
4,80,100,10,70,4/20/15 6:03
3,77,123,16,86,4/19/15 5:40
5,80,121,17,85,4/18/15 5:40
11,66,121,17,85,4/17/15 5:34
0,62,121,17,85,4/16/15 5:34
0,62,121,18,85,4/15/15 6:34
0,63,122,19,85,4/14/15 5:56
1,63,122,19,85,4/13/15 5:50
0,62,126,19,88,4/12/15 6:07
0,63,126,19,88,4/11/15 5:35
0,64,126,19,88,4/10/15 5:37
1,64,128,19,90,4/9/15 5:38
0,66,128,19,90,4/7/15 5:59
0,66,127,19,89,4/6/15 6:01
0,69,128,23,90,4/5/15 5:34
1,69,128,24,90,4/4/15 5:30
4,66,124,19,87,4/3/15 5:36
1,65,124,19,87,4/2/15 5:34
0,67,127,19,89,3/31/15 5:52
0,67,127,19,89,3/30/15 5:30
0,69,127,23,89,3/29/15 5:40
0,73,127,23,89,3/28/15 5:37
0,74,127,20,89,3/27/15 5:46
4,74,127,20,89,3/26/15 5:45
5,70,127,19,89,3/25/15 6:12
7,70,128,19,90,3/24/15 5:39
0,63,128,20,90,3/23/15 5:29
0,63,129,23,90,3/22/15 5:43
0,64,129,24,90,3/21/15 5:57
1,64,135,22,94,3/20/15 6:07
0,64,135,21,94,3/18/15 6:13
0,65,135,21,94,3/17/15 5:41
0,66,135,22,94,3/16/15 5:52
0,68,135,25,94,3/15/15 5:57
0,68,135,25,94,3/14/15 6:00
0,67,135,22,94,3/14/15 5:59
2,67,135,22,94,3/13/15 5:53
0,67,135,21,94,3/12/15 6:06
0,68,135,21,94,3/11/15 6:23
0,69,135,22,94,3/10/15 5:56
0,69,135,22,94,3/9/15 5:56
0,70,135,24,94,3/8/15 5:34
0,71,135,24,94,3/7/15 5:41
0,72,135,20,94,3/6/15 5:43
0,73,135,19,94,3/5/15 5:38
3,72,135,18,94,3/3/15 5:53
0,72,135,19,94,3/3/15 5:46
1,72,135,19,95,3/2/15 5:40
2,70,135,23,95,3/1/15 5:27
0,72,135,24,95,2/28/15 5:36
3,67,135,19,95,2/27/15 5:36
6,59,135,19,95,2/26/15 5:40
0,59,135,19,95,2/24/15 5:42
2,61,135,19,95,2/23/15 5:38
2,62,135,23,95,2/22/15 5:36
7,57,135,24,95,2/21/15 5:31
0,55,135,20,95,2/20/15 5:34
0,56,135,19,95,2/19/15 5:49
1,58,135,19,95,2/18/15 6:13
0,58,135,19,95,2/18/15 6:07
3,60,135,19,95,2/17/15 6:01
7,50,135,23,95,2/16/15 5:56
0,50,135,23,95,2/15/15 5:27
0,51,135,24,95,2/14/15 5:37
0,51,135,19,95,2/13/15 5:36
0,52,135,19,95,2/12/15 5:40
4,52,135,19,95,2/11/15 6:23
0,52,135,19,95,2/10/15 5:52
0,52,135,19,95,2/9/15 5:53
0,52,135,19,100,2/9/15 5:53
0,53,135,23,95,2/8/15 5:37
0,55,135,24,95,2/7/15 5:24
0,55,135,20,95,2/6/15 5:46
10,55,135,19,95,2/5/15 5:39
0,45,135,19,95,2/4/15 6:30
4,47,135,19,95,2/3/15 5:55
0,46,135,19,95,2/2/15 5:59
2,45,135,23,95,2/1/15 5:33
0,44,135,24,95,1/31/15 5:36
0,44,135,19,95,1/30/15 5:30
0,45,135,19,95,1/29/15 5:37
0,45,135,19,95,1/28/15 6:39
0,47,135,19,95,1/27/15 5:54
0,48,135,20,95,1/26/15 5:54
0,50,135,24,95,1/24/15 5:33
0,50,135,19,95,1/23/15 5:45
3,50,132,19,93,1/22/15 5:50
6,49,132,19,93,1/21/15 6:10
6,48,132,19,93,1/20/15 5:46
0,43,130,20,91,1/19/15 5:57
1,44,130,24,91,1/18/15 5:33
0,41,130,25,91,1/17/15 6:03
0,41,130,19,91,1/16/15 5:36
0,42,130,19,91,1/15/15 5:44
0,43,130,19,91,1/14/15 6:01
0,43,130,19,91,1/13/15 5:54
4,44,130,19,91,1/12/15 5:58
0,41,130,25,91,1/11/15 5:34
0,41,130,25,91,1/10/15 5:43
0,42,131,19,92,1/9/15 5:46
0,42,131,19,92,1/8/15 5:40
0,44,131,19,92,1/7/15 6:24
0,45,131,20,92,1/6/15 5:56
1,45,131,20,92,1/5/15 5:52
4,45,131,24,89,1/4/15 5:35
2,42,126,24,89,1/3/15 5:54
0,42,124,23,87,1/2/15 5:40
0,42,125,23,88,1/1/15 5:45
0,44,119,22,84,12/31/14 6:22
0,46,118,22,83,12/30/14 5:52
6,46,118,22,83,12/29/14 5:35
0,43,120,24,84,12/28/14 5:34
2,42,119,23,81,12/27/14 5:37
3,44,115,22,81,12/26/14 5:44
0,47,115,22,81,12/25/14 5:44
0,46,111,22,78,12/24/14 6:23
6,45,110,22,77,12/23/14 5:49
9,45,109,22,77,12/22/14 10:34
2,36,108,22,76,12/21/14 5:39
0,39,107,23,62,12/20/14 5:46
6,38,88,18,62,12/19/14 5:34
3,34,85,16,60,12/18/14 5:46
1,33,74,16,52,12/17/14 6:06
1,34,77,16,54,12/16/14 6:07
12,37,71,19,50,12/15/14 5:53
12,37,71,19,50,12/15/14 5:45
7,23,68,19,48,12/14/14 6:32
4,23,68,19,45,12/14/14 5:29
0,21,63,20,45,12/13/14 5:46
0,21,47,15,33,12/12/14 5:36
0,22,48,15,34,12/11/14 5:47
0,22,43,15,31,12/10/14 6:05
0,22,43,15,31,12/9/14 6:07
0,22,43,16,31,12/8/14 6:00
0,22,43,18,31,12/7/14 5:46
1,22,43,18,31,12/6/14 5:32
0,22,43,15,31,12/5/14 5:35
0,23,43,15,31,12/4/14 5:48
0,24,43,18,31,12/3/14 6:12
0,24,43,18,31,12/2/14 5:45
0,25,43,18,31,12/1/14 5:43
0,26,43,18,31,11/30/14 5:44
0,27,44,18,31,11/29/14 5:44
0,29,43,18,31,11/28/14 5:49
0,30,26,8,19,11/27/14 5:47
8,31,26,8,19,11/26/14 6:11
2,22,12,4,9,11/25/14 8:27
4,22,12,4,9,11/25/14 7:51
2,22,12,4,9,11/25/14 6:16
4,22,12,4,9,11/24/14 6:16
6,18,12,4,9,11/23/14 5:43
0,18,12,4,9,11/22/14 5:47
0,18,11,4,8,11/21/14 5:45
0,18,11,4,8,11/20/14 5:57
0,18,8,4,6,11/19/14 6:13
0,18,7,4,1,11/18/14 6:03
0,18,6,4,5,11/17/14 6:06
10,18,5,4,4,11/16/14 5:43
5,18,3,3,3,11/15/14 5:50
