new_24,basedepth,open_trails,open_lifts,open_percent,valid_at
2,88,130,21,91,4/21/13 5:42
0,90,130,21,91,4/20/13 5:44
5,93,130,21,91,4/19/13 5:55
6,92,130,19,91,4/18/13 5:48
1,89,130,19,91,4/17/13 5:55
12,92,130,19,91,4/16/13 5:57
7,81,130,20,91,4/15/13 11:09
4,81,130,20,91,4/15/13 5:41
10,78,130,22,91,4/14/13 5:37
0,74,130,23,91,4/13/13 5:50
0,74,130,23,91,4/13/13 5:48
2,72,130,19,91,4/12/13 6:00
4,72,130,19,91,4/11/13 5:59
1,70,130,19,91,4/10/13 5:47
2,70,130,19,91,4/9/13 5:40
3,68,130,20,91,4/8/13 5:39
0,67,130,22,91,4/7/13 5:48
4,68,130,22,91,4/6/13 5:38
0,65,130,19,91,4/5/13 5:37
0,68,130,19,91,4/4/13 6:01
1,65,130,19,91,4/3/13 5:52
0,65,130,20,91,4/2/13 5:56
0,67,135,20,95,4/1/13 5:37
1,68,135,23,95,3/31/13 5:46
0,68,135,24,95,3/30/13 5:42
0,68,135,19,95,3/29/13 5:43
0,69,135,19,95,3/28/13 5:55
2,71,135,19,95,3/27/13 6:00
0,70,135,21,95,3/26/13 5:47
0,71,135,21,95,3/25/13 5:37
1,72,135,24,95,3/24/13 5:36
2,73,135,24,95,3/23/13 5:41
6,70,135,20,95,3/22/13 5:40
2,67,135,19,95,3/21/13 5:42
0,66,135,19,95,3/20/13 5:57
1,66,135,20,95,3/19/13 5:58
6,69,135,20,95,3/18/13 7:59
1,64,135,23,95,3/17/13 5:38
0,65,135,24,95,3/16/13 5:40
0,68,135,19,95,3/15/13 5:41
0,68,135,21,95,3/14/13 5:57
1,71,135,21,95,3/13/13 6:04
4,70,135,23,95,3/12/13 6:01
0,67,135,20,95,3/11/13 5:27
0,68,135,19,95,3/10/13 8:09
4,63,135,24,95,3/9/13 5:38
0,62,135,20,95,3/8/13 5:47
0,64,135,19,95,3/7/13 5:48
0,65,135,19,95,3/6/13 6:56
4,66,135,19,95,3/5/13 5:55
5,64,135,19,95,3/4/13 5:42
0,61,135,24,95,3/3/13 5:47
1,63,134,24,94,3/2/13 5:44
5,63,134,19,94,3/1/13 5:37
1,60,131,19,92,2/28/13 5:49
6,60,131,19,92,2/27/13 5:45
0,59,130,20,91,2/26/13 5:52
2,59,130,24,91,2/25/13 5:39
3,59,130,24,91,2/24/13 5:53
1,57,130,24,91,2/23/13 5:41
