FormattedDate,away_WP,to_WP,day_of_week,skiers
11/12/11,2075,2119,5,2356
11/13/11,2882,1371,6,845
11/14/11,1720,1607,0,732
11/15/11,1539,1804,1,997
11/16/11,1695,1808,2,1110
11/17/11,1890,1916,3,1136
11/18/11,2008,3207,4,2335
11/19/11,1922,2637,5,3050
11/20/11,3566,2282,6,1766
11/21/11,2202,2113,0,1677
11/22/11,2294,2664,1,2047
11/23/11,2723,4357,2,3681
11/24/11,1911,2704,3,4474
11/25/11,3131,4319,4,5662
11/26/11,4287,2846,5,4221
11/27/11,3029,0,6,1192
11/28/11,1976,1570,0,786
11/29/11,1696,1719,1,809
11/30/11,1851,1892,2,850
12/1/11,1181,1335,3,1004
12/2/11,1891,3517,4,2630
12/3/11,2467,2795,5,2958
12/4/11,3790,2065,6,1233
12/5/11,1660,1540,0,1113
12/6/11,1703,1698,1,1108
12/7/11,1866,1894,2,1136
12/8/11,1728,1979,3,1387
12/9/11,2074,3536,4,2849
12/10/11,3360,3585,5,3074
12/11/11,4003,2293,6,1364
12/12/11,2008,1843,0,1199
12/13/11,1761,1785,1,1223
12/14/11,1803,1825,2,1245
12/15/11,1980,2257,3,1522
12/16/11,2433,4203,4,3292
12/17/11,3240,4195,5,4247
12/18/11,3959,3141,6,3429
12/19/11,2866,2724,0,3287
12/20/11,2817,3029,1,3499
12/21/11,3232,3261,2,3528
12/22/11,2247,2653,3,3934
12/23/11,3815,4680,4,4799
12/24/11,2582,3028,5,5245
12/25/11,2246,2802,6,5801
12/26/11,4887,5775,0,6689
12/27/11,4241,4642,1,7090
12/28/11,4208,4611,2,7493
12/29/11,4260,4682,3,7915
12/30/11,4908,5916,4,8923
12/31/11,3346,3391,5,8968
1/1/12,5730,2700,6,5938
1/2/12,6268,3267,0,2937
1/3/12,2924,2294,1,2307
1/4/12,2334,2303,2,2276
1/5/12,2359,2490,3,2407
1/6/12,2638,4091,4,3860
1/7/12,3077,3199,5,3982
1/8/12,4887,2904,6,1999
1/9/12,2387,2066,0,1678
1/10/12,2110,2069,1,1637
1/11/12,1670,1737,2,1704
1/12/12,2681,3030,3,2053
1/13/12,2996,5877,4,4934
1/14/12,4044,5440,5,6330
1/15/12,5571,3287,6,4046
1/16/12,5002,2370,0,1414
1/17/12,2280,2019,1,1153
1/18/12,1883,1835,2,1105
1/19/12,1792,2326,3,1639
1/20/12,2568,5829,4,4900
1/21/12,4002,4981,5,5879
1/22/12,7332,3401,6,1948
1/23/12,2682,1978,0,1244
1/24/12,1854,1799,1,1189
1/25/12,2260,2380,2,1309
1/26/12,2317,3112,3,2104
1/27/12,0,3268,4,5372
1/28/12,4862,5658,5,6168
1/29/12,8060,4229,6,2337
1/30/12,3122,2676,0,1891
1/31/12,2978,2142,1,1055
2/1/12,2266,2294,2,1083
2/2/12,2119,3108,3,2072
2/3/12,0,3268,4,5340
2/4/12,3380,3731,5,5691
2/5/12,5819,2848,6,2720
2/6/12,2497,1796,0,2019
2/7/12,1710,1733,1,2042
2/8/12,2084,2302,2,2260
2/9/12,2186,2665,3,2739
2/10/12,2757,6234,4,6216
2/11/12,4506,5213,5,6923
2/12/12,7601,3338,6,2660
2/13/12,2795,2155,0,2020
2/14/12,2052,2024,1,1992
2/15/12,2194,2416,2,2214
2/16/12,2486,3521,3,3249
2/17/12,3385,7731,4,7595
2/18/12,4542,6345,5,9398
2/19/12,6623,4116,6,6891
2/20/12,3989,0,0,2902
2/21/12,3009,2249,1,2142
2/22/12,2074,2075,2,2143
2/23/12,1043,1691,3,2791
2/24/12,3352,6411,4,5850
2/25/12,4996,5498,5,6352
2/26/12,7147,3134,6,2339
2/27/12,2938,2142,0,1543
2/28/12,1607,1640,1,1576
2/29/12,2386,2567,2,1757
3/1/12,0,843,3,2600
3/2/12,0,3982,4,6582
3/3/12,4848,5345,5,7079
3/4/12,8124,3509,6,2464
3/5/12,2966,2253,0,1751
3/6/12,2356,2264,1,1659
3/7/12,1947,2077,2,1789
3/8/12,2347,2827,3,2269
3/9/12,2983,5594,4,4880
3/10/12,4336,5520,5,6064
3/11/12,1949,0,6,4115
3/12/12,2821,2543,0,3837
3/13/12,2506,2352,1,3683
3/14/12,2687,2560,2,3556
3/15/12,2787,2865,3,3634
3/16/12,3291,4648,4,4991
3/17/12,3821,4145,5,5315
3/18/12,4877,2718,6,3156
3/19/12,2180,2014,0,2990
3/20/12,2325,2238,1,2903
3/21/12,2533,2453,2,2823
3/22/12,2503,2797,3,3117
3/23/12,2945,4555,4,4727
3/24/12,3573,4293,5,5447
3/25/12,4635,2896,6,3708
3/26/12,2837,2400,0,3271
3/27/12,2571,2408,1,3108
3/28/12,2574,2675,2,3209
3/29/12,2639,2892,3,3462
3/30/12,3070,3767,4,4159
3/31/12,3250,2938,5,3847
4/1/12,4210,1971,6,1608
4/2/12,1890,1494,0,1212
4/3/12,1418,1353,1,1147
4/4/12,1861,1874,2,1160
4/5/12,1965,2158,3,1353
4/6/12,2274,3001,4,2080
4/7/12,2535,2327,5,1872
4/8/12,2786,1485,6,571
4/9/12,1790,1520,0,301
4/10/12,1632,1616,1,285
4/11/12,1717,1675,2,243
4/12/12,1711,1728,3,260
4/13/12,1877,2476,4,859
4/14/12,1600,1893,5,1152
4/15/12,2467,1578,6,263
4/16/12,1681,1447,0,29
4/17/12,1580,1551,1,0
4/18/12,1537,1573,2,36
4/19/12,1524,1661,3,173
4/20/12,1806,2960,4,1327
4/21/12,2095,2725,5,1957
4/22/12,3571,1912,6,298
