FormattedDate,away_WP,to_WP,day_of_week,skiers
11/13/13,1659,1791,2,441
11/14/13,1714,1923,3,650
11/15/13,1935,3269,4,1984
11/16/13,2005,2211,5,2190
11/17/13,3362,1453,6,281
11/18/13,1821,1602,0,62
11/19/13,1642,1666,1,86
11/20/13,1638,1570,2,18
11/21/13,1269,1292,3,41
11/22/13,1509,2802,4,1334
11/23/13,2006,2936,5,2264
11/24/13,2927,2042,6,1379
11/25/13,2085,2041,0,1335
11/26/13,2186,2540,1,1689
11/27/13,2693,4246,2,3242
11/28/13,1954,2684,3,3972
11/29/13,3517,4694,4,5149
11/30/13,4777,3197,5,3569
12/1/13,5048,1865,6,386
12/2/13,1965,1579,0,0
12/3/13,1328,1544,1,216
12/4/13,1038,1190,2,368
12/5/13,1467,1692,3,593
12/6/13,1673,3145,4,2065
12/7/13,3146,3603,5,2522
12/8/13,3857,2042,6,707
12/9/13,1826,1607,0,488
12/10/13,1637,1747,1,598
12/11/13,1939,1971,2,630
12/12/13,2068,2260,3,822
12/13/13,2189,4321,4,2954
12/14/13,3964,4659,5,3649
12/15/13,5638,3365,6,1376
12/16/13,2521,2152,0,1007
12/17/13,2177,2200,1,1030
12/18/13,2367,2370,2,1033
12/19/13,2230,2630,3,1433
12/20/13,2582,4628,4,3479
12/21/13,3457,5015,5,5037
12/22/13,4369,4001,6,4669
12/23/13,4304,4299,0,4664
12/24/13,3086,3563,1,5141
12/25/13,3020,3384,2,5505
12/26/13,4229,5805,3,7081
12/27/13,5236,7241,4,9086
12/28/13,5285,5831,5,9632
12/29/13,5781,4570,6,8421
12/30/13,5740,5492,0,8173
12/31/13,4068,5065,1,9170
1/1/14,6981,4681,2,6870
1/2/14,5351,4436,3,5955
1/3/14,5410,6077,4,6622
1/4/14,4497,3863,5,5988
1/5/14,6095,2785,6,2678
1/6/14,3032,2249,0,1895
1/7/14,2443,2458,1,1910
1/8/14,2378,2361,2,1893
1/9/14,2594,2852,3,2151
1/10/14,2605,5570,4,5116
1/11/14,5209,5669,5,5576
1/12/14,5925,2439,6,2090
1/13/14,2427,1877,0,1540
1/14/14,1719,1646,1,1467
1/15/14,2541,2596,2,1522
1/16/14,2457,3021,3,2086
1/17/14,2994,7369,4,6461
1/18/14,5263,6432,5,7630
1/19/14,5486,3158,6,5302
1/20/14,6929,3011,0,1384
1/21/14,2440,2152,1,1096
1/22/14,2152,2199,2,1143
1/23/14,1835,2579,3,1887
1/24/14,2423,6463,4,5927
1/25/14,4597,5286,5,6616
1/26/14,7747,3245,6,2114
1/27/14,2136,1563,0,1541
1/28/14,2190,2164,1,1515
1/29/14,2221,2389,2,1683
1/30/14,1810,3045,3,2918
1/31/14,2734,5773,4,5957
2/1/14,4589,4853,5,6221
2/2/14,6075,2815,6,2961
2/3/14,2948,2066,0,2079
2/4/14,1734,1710,1,2055
2/5/14,1791,1863,2,2127
2/6/14,1759,2542,3,2910
2/7/14,2663,6546,4,6793
2/8/14,4366,4934,5,7361
2/9/14,7308,3037,6,3090
2/10/14,2229,1459,0,2320
2/11/14,2527,2329,1,2122
2/12/14,2333,2522,2,2311
2/13/14,2269,3704,3,3746
2/14/14,3309,8141,4,8578
2/15/14,3978,5451,5,10051
2/16/14,6620,4056,6,7487
2/17/14,7157,2865,0,3195
2/18/14,3092,2398,1,2501
2/19/14,2342,2415,2,2574
2/20/14,2157,2948,3,3365
2/21/14,2758,6916,4,7523
2/22/14,4690,5230,5,8063
2/23/14,8470,3714,6,3307
2/24/14,3124,2144,0,2327
2/25/14,1925,1924,1,2326
2/26/14,2379,2542,2,2489
2/27/14,2420,3124,3,3193
2/28/14,3099,7066,4,7160
3/1/14,4356,4820,5,7624
3/2/14,4766,0,6,2858
3/3/14,733,0,0,2125
3/4/14,2095,2073,1,2103
3/5/14,2494,2624,2,2233
3/6/14,2552,3310,3,2991
3/7/14,2513,4381,4,4859
3/8/14,4836,6809,5,6832
3/9/14,2615,0,6,4217
3/10/14,2960,2666,0,3923
3/11/14,1917,1870,1,3876
3/12/14,2819,2849,2,3906
3/13/14,2904,3142,3,4144
3/14/14,3684,6110,4,6570
3/15/14,4129,4834,5,7275
3/16/14,6787,3842,6,4330
3/17/14,2760,2396,0,3966
3/18/14,2189,2058,1,3835
3/19/14,2782,2684,2,3737
3/20/14,2865,3046,3,3918
3/21/14,3167,5548,4,6299
3/22/14,3945,4736,5,7090
3/23/14,6321,4035,6,4804
3/24/14,3265,2865,0,4404
3/25/14,3174,2987,1,4217
3/26/14,3243,3150,2,4124
3/27/14,2888,3281,3,4517
3/28/14,3961,5555,4,6111
3/29/14,4536,4106,5,5681
3/30/14,5884,2728,6,2525
3/31/14,2510,1928,0,1943
4/1/14,2073,1928,1,1798
4/2/14,2076,2159,2,1881
4/3/14,2279,2587,3,2189
4/4/14,3264,4728,4,3653
4/5/14,3306,3493,5,3840
4/6/14,4968,2660,6,1532
4/7/14,2187,1686,0,1031
4/8/14,1854,1779,1,956
4/9/14,1901,1940,2,995
4/10/14,1855,2145,3,1285
4/11/14,2195,3641,4,2731
4/12/14,2812,3308,5,3227
4/13/14,4024,2222,6,1425
4/14/14,2176,1671,0,920
4/15/14,1822,1746,1,844
4/16/14,1678,1657,2,823
4/17/14,1836,2231,3,1218
4/18/14,2434,4299,4,3083
4/19/14,2864,3389,5,3608
4/20/14,4505,2044,6,1147
4/21/14,2493,1748,0,402
4/22/14,1686,1590,1,306
4/23/14,1642,1601,2,265
4/24/14,1704,1911,3,472
4/25/14,1956,2930,4,1446
4/26/14,2306,2641,5,1781
