FormattedDate,away_WP,to_WP,day_of_week,skiers
11/14/12,1775,1861,2,854
11/15/12,1765,1932,3,1021
11/16/12,1889,3012,4,2144
11/17/12,2081,2627,5,2690
11/18/12,3084,1778,6,1384
11/19/12,2062,2050,0,1372
11/20/12,2063,2480,1,1789
11/21/12,2452,3941,2,3278
11/22/12,1606,2288,3,3960
11/23/12,2910,3722,4,4772
11/24/12,3756,2276,5,3292
11/25/12,4037,1411,6,666
11/26/12,1691,1325,0,300
11/27/12,1489,1510,1,321
11/28/12,1569,1627,2,379
11/29/12,1606,1683,3,456
11/30/12,1812,2977,4,1621
12/1/12,2623,3007,5,2005
12/2/12,3278,1834,6,561
12/3/12,1619,1509,0,451
12/4/12,1506,1486,1,431
12/5/12,1665,1602,2,368
12/6/12,1472,1648,3,544
12/7/12,1729,3081,4,1896
12/8/12,2218,2781,5,2459
12/9/12,3709,1983,6,733
12/10/12,1650,1480,0,563
12/11/12,1556,1624,1,631
12/12/12,1790,1815,2,656
12/13/12,2058,2280,3,878
12/14/12,2104,3676,4,2450
12/15/12,3083,3662,5,3029
12/16/12,4333,2646,6,1342
12/17/12,2316,2006,0,1032
12/18/12,1899,2206,1,1339
12/19/12,2044,2217,2,1512
12/20/12,2886,3276,3,1902
12/21/12,3244,5032,4,3690
12/22/12,3570,5142,5,5262
12/23/12,3989,3784,6,5057
12/24/12,3259,3069,0,4867
12/25/12,2526,2573,1,4914
12/26/12,4084,5026,2,5856
12/27/12,4022,5183,3,7017
12/28/12,5002,6651,4,8666
12/29/12,5407,6092,5,9351
12/30/12,5443,4805,6,8713
12/31/12,4031,4050,0,8732
1/1/13,6971,3616,1,5377
1/2/13,4260,3422,2,4539
1/3/13,3783,3768,3,4524
1/4/13,4313,5621,4,5832
1/5/13,5692,5289,5,5429
1/6/13,6573,3779,6,2635
1/7/13,3051,2336,0,1920
1/8/13,2328,2210,1,1802
1/9/13,2386,2336,2,1752
1/10/13,2558,2749,3,1943
1/11/13,2599,4453,4,3797
1/12/13,3147,3457,5,4107
1/13/13,5051,2393,6,1449
1/14/13,2060,1698,0,1087
1/15/13,1830,1781,1,1038
1/16/13,2255,2405,2,1188
1/17/13,2393,2981,3,1776
1/18/13,3096,6813,4,5493
1/19/13,4526,6207,5,7174
1/20/13,6446,4043,6,4771
1/21/13,6284,2727,0,1214
1/22/13,2344,2016,1,886
1/23/13,2055,2134,2,965
1/24/13,1998,2529,3,1496
1/25/13,2195,5652,4,4953
1/26/13,4269,5001,5,5685
1/27/13,7131,2912,6,1466
1/28/13,2332,1724,0,858
1/29/13,1944,2004,1,918
1/30/13,1936,2100,2,1082
1/31/13,2116,2718,3,1684
2/1/13,3031,6329,4,4982
2/2/13,5237,5933,5,5678
2/3/13,7605,4279,6,2352
2/4/13,3407,2760,0,1705
2/5/13,3019,2362,1,1048
2/6/13,2342,2373,2,1079
2/7/13,2277,2897,3,1699
2/8/13,2923,6500,4,5276
2/9/13,4110,5160,5,6326
2/10/13,8294,3996,6,2028
2/11/13,3100,2261,0,1189
2/12/13,2348,2289,1,1130
2/13/13,2333,2493,2,1290
2/14/13,2274,3268,3,2284
2/15/13,3731,8331,4,6884
2/16/13,4813,6269,5,8340
2/17/13,6977,4311,6,5674
2/18/13,6758,2805,0,1721
2/19/13,3341,2508,1,888
2/20/13,2208,2323,2,1003
2/21/13,1787,2485,3,1701
2/22/13,2892,6167,4,4976
2/23/13,4993,5576,5,5559
2/24/13,5898,2185,6,1846
2/25/13,3214,2158,0,790
2/26/13,1963,1777,1,604
2/27/13,2634,2726,2,696
2/28/13,2513,3477,3,1660
3/1/13,3496,7437,4,5601
3/2/13,5234,5784,5,6151
3/3/13,8610,3639,6,1180
3/4/13,2793,2162,0,549
3/5/13,2449,2412,1,512
3/6/13,2555,2599,2,556
3/7/13,2529,3535,3,1562
3/8/13,3039,8765,4,7288
3/9/13,2503,3210,5,7995
3/10/13,2030,0,6,5965
3/11/13,5456,2818,0,3327
3/12/13,2403,2408,1,3332
3/13/13,2871,2822,2,3283
3/14/13,2916,3004,3,3371
3/15/13,3538,5475,4,5308
3/16/13,4194,4785,5,5899
3/17/13,5748,3284,6,3435
3/18/13,2861,2469,0,3043
3/19/13,2622,2430,1,2851
3/20/13,2709,2564,2,2706
3/21/13,2633,2829,3,2902
3/22/13,3140,5350,4,5112
3/23/13,2627,3304,5,5789
3/24/13,5139,3542,6,4192
3/25/13,3147,3009,0,4054
3/26/13,3222,3115,1,3947
3/27/13,3528,3499,2,3918
3/28/13,3529,3909,3,4298
3/29/13,4042,4728,4,4984
3/30/13,4558,3620,5,4046
3/31/13,4515,2400,6,1931
4/1/13,2534,2004,0,1401
4/2/13,1958,1872,1,1315
4/3/13,2123,2136,2,1328
4/4/13,2488,2515,3,1355
4/5/13,2544,3470,4,2281
4/6/13,3081,3253,5,2453
4/7/13,4163,2097,6,387
4/8/13,1927,1617,0,77
4/9/13,1045,1003,1,35
4/10/13,1767,1732,2,0
4/11/13,1754,2096,3,342
4/12/13,2133,3545,4,1754
4/13/13,2723,3084,5,2115
4/14/13,4079,2304,6,340
4/15/13,1052,1143,0,431
4/16/13,2062,1982,1,351
4/17/13,1685,1672,2,338
4/18/13,2211,2459,3,586
4/19/13,2922,4906,4,2570
4/20/13,3417,4422,5,3575
4/21/13,6391,3359,6,543
