COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000240,20140124,P,48,34,21,23,20,81,189,552,725,670,640,690,752,730,936,1071,1377,1049,755,500,431,375,231,158,01/24/2014
000240,20140124,S,67,47,35,15,14,46,203,621,1008,933,898,830,821,796,884,1040,1129,1164,961,808,720,579,317,181,01/24/2014
000240,20140125,P,96,64,42,35,28,63,161,437,842,817,788,800,892,1027,1267,1496,1733,1410,998,770,679,491,256,153,01/25/2014
000240,20140125,S,106,61,38,19,24,43,175,730,1115,1085,1081,1176,1315,1214,1144,1274,1437,1159,840,646,480,323,199,145,01/25/2014
000240,20140126,P,90,72,59,32,39,59,160,378,743,1002,1193,1165,1030,1070,1022,1046,1088,834,790,638,424,306,175,93,01/26/2014
000240,20140126,S,76,42,33,23,20,30,119,572,1010,864,1005,981,1008,980,965,1050,1042,784,599,375,311,191,137,76,01/26/2014
000240,20140127,P,33,26,39,47,35,107,258,643,716,655,691,734,706,705,711,760,844,777,488,248,170,202,129,93,01/27/2014
000240,20140127,S,54,21,28,21,27,55,160,534,824,764,690,668,587,597,620,615,635,762,488,328,226,174,90,71,01/27/2014
000240,20140128,P,23,28,19,14,38,88,187,571,615,520,529,591,708,763,917,1103,1075,944,607,357,249,215,132,81,01/28/2014
000240,20140128,S,28,24,20,12,19,55,176,548,1001,929,751,633,667,590,654,797,758,844,576,413,255,244,159,78,01/28/2014
000240,20140129,P,55,40,25,18,25,73,190,586,641,635,644,637,707,780,822,962,1105,873,484,307,274,189,125,78,01/29/2014
000240,20140129,S,39,28,21,16,5,52,183,592,906,863,772,725,661,649,659,787,864,814,581,417,302,256,145,97,01/29/2014
000240,20140130,P,48,30,30,30,35,74,177,361,511,459,408,387,382,409,454,619,692,606,301,215,176,144,88,98,01/30/2014
000240,20140130,S,74,36,25,20,27,58,127,424,704,586,511,363,482,368,471,449,501,486,388,310,300,231,181,205,01/30/2014
000240,20140131,P,39,26,17,40,44,66,157,370,499,427,453,454,518,604,707,885,1105,931,507,326,377,346,299,208,01/31/2014
000240,20140131,S,96,79,71,45,34,51,140,511,997,868,806,787,710,614,610,730,698,681,525,443,323,291,237,271,01/31/2014
000240,20140201,P,108,62,38,34,45,87,161,424,695,729,713,661,718,824,868,988,1103,1068,676,506,405,280,203,144,02/01/2014
000240,20140201,S,280,116,48,36,34,46,161,586,1094,922,766,703,806,705,735,934,993,872,643,485,414,287,169,131,02/01/2014
000240,20140202,P,72,58,43,33,33,68,169,374,692,866,856,726,781,729,724,973,921,368,291,267,429,223,105,79,02/02/2014
000240,20140202,S,73,65,26,6,20,37,129,469,923,740,710,591,605,610,633,670,587,327,233,178,269,186,121,52,02/02/2014
000240,20140203,P,25,17,15,29,45,127,320,628,833,837,804,633,679,720,814,907,966,870,561,334,288,215,131,82,02/03/2014
000240,20140203,S,34,18,15,20,20,50,173,495,918,819,718,641,593,591,659,740,810,842,616,413,268,193,130,88,02/03/2014
000240,20140204,P,23,20,18,13,29,68,220,578,702,692,618,572,602,648,712,809,917,785,528,308,230,157,125,82,02/04/2014
000240,20140204,S,56,29,20,22,12,52,186,604,816,708,592,555,608,553,591,766,768,871,534,354,272,217,107,63,02/04/2014
000240,20140205,P,39,25,14,21,32,84,205,562,671,678,622,600,629,652,659,813,967,889,567,335,243,222,141,93,02/05/2014
000240,20140205,S,49,27,20,15,12,60,172,530,805,648,583,615,608,599,664,792,841,925,630,480,345,291,192,149,02/05/2014
000240,20140206,P,42,45,20,22,29,74,184,549,687,632,534,531,581,570,684,778,940,882,630,343,271,239,157,114,02/06/2014
000240,20140206,S,96,54,37,19,21,42,188,534,828,702,593,596,607,597,627,751,865,862,776,527,382,350,227,189,02/06/2014
000240,20140207,P,68,30,42,23,32,82,179,537,708,636,613,585,635,645,805,931,1141,983,627,429,342,247,192,147,02/07/2014
000240,20140207,S,109,70,57,30,29,45,206,531,1034,830,817,649,737,667,739,851,937,979,778,647,502,538,445,210,02/07/2014
000240,20140208,P,80,49,27,36,40,75,204,410,720,708,637,622,664,738,902,985,1015,890,664,401,339,285,225,149,02/08/2014
000240,20140208,S,132,63,53,34,23,52,161,576,1136,1028,784,689,655,647,613,732,875,830,649,472,352,268,173,115,02/08/2014
000240,20140209,P,83,53,60,54,55,106,224,462,763,936,963,795,689,606,555,608,750,596,448,356,307,244,133,110,02/09/2014
000240,20140209,S,58,48,35,28,30,50,142,535,781,793,620,489,520,667,903,1027,1093,745,468,357,460,424,311,141,02/09/2014
000240,20140210,P,44,34,29,30,83,247,369,552,764,838,717,639,588,689,723,823,904,801,535,301,221,233,120,68,02/10/2014
000240,20140210,S,57,33,32,18,30,58,153,469,932,732,780,618,508,518,575,584,700,710,509,337,226,194,104,68,02/10/2014
000240,20140211,P,45,32,20,17,37,95,231,635,690,658,596,537,663,698,756,955,1145,939,669,340,240,191,123,90,02/11/2014
000240,20140211,S,31,17,24,17,13,51,169,483,1076,838,767,615,576,602,604,743,837,848,627,384,263,214,140,101,02/11/2014
000240,20140212,P,59,29,14,24,28,75,228,575,734,674,652,611,677,704,743,902,1019,916,610,399,265,247,131,98,02/12/2014
000240,20140212,S,72,42,21,11,9,65,200,572,987,764,725,635,610,615,684,822,781,916,627,446,344,293,155,111,02/12/2014
000240,20140213,P,61,25,20,19,38,80,166,553,667,606,605,563,636,672,701,909,1047,934,595,366,267,236,184,124,02/13/2014
000240,20140213,S,73,34,22,17,17,56,167,554,931,764,720,616,670,618,667,922,863,892,620,345,425,593,332,185,02/13/2014
000240,20140214,P,80,45,38,28,41,81,194,573,687,678,661,661,702,792,867,1023,1286,1086,739,492,363,287,223,210,02/14/2014
000240,20140214,S,163,70,77,50,27,56,206,638,1043,926,816,743,745,780,853,996,1012,1022,756,646,529,461,309,451,02/14/2014
000240,20140215,P,96,58,67,28,31,67,148,420,699,865,865,754,782,810,936,960,1071,990,703,461,419,325,276,168,02/15/2014
000240,20140215,S,339,126,66,35,32,63,226,660,914,891,717,751,816,799,854,935,1139,1005,798,541,496,308,231,155,02/15/2014
000240,20140216,P,93,55,35,32,26,49,159,406,787,1044,974,868,803,822,806,903,1153,932,680,474,297,256,196,128,02/16/2014
000240,20140216,S,107,48,37,14,15,47,154,580,971,831,741,710,708,736,784,884,963,840,589,449,348,245,176,101,02/16/2014
000240,20140217,P,57,31,36,36,55,147,352,709,951,1041,996,808,816,754,827,934,1115,1052,672,476,327,239,140,102,02/17/2014
000240,20140217,S,67,35,27,22,23,54,174,553,1090,929,804,681,673,668,786,874,869,1005,683,424,334,223,118,66,02/17/2014
000240,20140218,P,42,35,33,19,38,125,321,678,841,787,662,710,648,679,739,921,1166,995,640,364,292,210,142,76,02/18/2014
000240,20140218,S,57,20,23,18,14,67,199,588,1036,873,745,612,616,610,635,833,895,963,641,425,310,228,152,95,02/18/2014
000240,20140219,P,60,24,17,20,30,87,192,613,766,753,623,694,649,707,783,853,1108,871,562,333,277,160,130,85,02/19/2014
000240,20140219,S,51,31,31,16,13,52,194,570,914,822,665,647,667,646,694,904,921,920,543,457,345,250,178,126,02/19/2014
000240,20140220,P,38,32,16,22,36,94,194,550,618,569,534,598,621,626,753,891,991,888,586,380,286,243,203,120,02/20/2014
000240,20140220,S,84,40,41,22,17,49,173,478,925,866,566,620,613,601,623,819,850,967,720,519,405,333,240,149,02/20/2014
000240,20140221,P,84,33,30,32,35,72,203,566,731,749,671,626,757,715,869,1000,1237,1071,691,454,330,338,215,139,02/21/2014
000240,20140221,S,100,69,34,30,26,53,209,550,1050,1040,757,658,670,747,755,928,1109,1089,695,747,681,531,308,204,02/21/2014
000240,20140222,P,71,49,48,30,41,76,185,409,787,880,807,827,778,828,890,1132,1209,1059,735,514,395,313,233,260,02/22/2014
000240,20140222,S,121,70,49,30,26,50,210,659,1036,939,778,793,826,796,810,968,1098,965,719,561,474,294,236,164,02/22/2014
000240,20140223,P,96,65,59,37,43,86,246,431,869,1063,1110,889,783,767,716,846,931,825,637,543,331,237,169,96,02/23/2014
000240,20140223,S,78,30,37,32,15,42,144,498,952,883,700,608,676,634,766,837,874,842,567,375,261,207,141,90,02/23/2014
000240,20140224,P,44,24,23,25,38,116,267,542,771,759,740,711,691,742,780,906,1049,951,545,336,265,214,143,76,02/24/2014
000240,20140224,S,41,19,27,18,17,49,170,527,932,887,716,612,587,569,646,738,824,803,616,378,280,214,130,87,02/24/2014
