COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000106,20140122,P,60,40,43,53,82,158,298,452,563,679,656,738,798,972,1047,1175,1066,766,537,371,289,208,136,79,01/22/2014
000106,20140122,S,100,63,51,53,85,187,335,761,997,1011,840,720,714,733,743,815,842,667,566,559,470,324,320,189,01/22/2014
000106,20140123,P,57,42,35,44,70,119,223,367,445,571,588,615,640,748,804,973,1043,817,566,381,269,218,129,75,01/23/2014
000106,20140123,S,97,70,64,75,78,131,214,467,656,778,905,866,849,882,989,971,1054,888,757,797,645,529,450,272,01/23/2014
000106,20140124,P,57,41,44,53,68,142,239,410,492,676,741,791,895,1117,1328,1619,1531,1105,793,539,391,275,186,99,01/24/2014
000106,20140124,S,130,147,81,74,83,167,431,982,1575,1538,1452,1269,1163,1352,1540,1501,2354,2308,2278,2310,2048,1108,678,383,01/24/2014
000106,20140125,P,64,57,33,52,63,102,247,489,753,894,1090,1102,1191,1482,1795,1976,2006,1610,1216,1162,841,524,280,161,01/25/2014
000106,20140125,S,191,124,98,81,86,214,1267,1688,1666,1619,1942,1937,1819,1356,1400,1366,1274,1033,789,617,469,318,259,148,01/25/2014
000106,20140126,P,106,58,50,63,59,119,301,619,1094,2118,2941,2689,2659,2166,1893,1536,1463,1155,1368,1885,1211,666,320,248,01/26/2014
000106,20140126,S,83,86,63,56,61,94,575,1440,1248,1043,1113,1185,1037,1089,1112,1013,981,897,653,484,347,248,163,121,01/26/2014
000106,20140127,P,144,75,60,77,112,280,637,796,834,982,1101,1106,1059,1039,987,841,879,691,511,295,209,123,100,80,01/27/2014
000106,20140127,S,70,68,51,59,75,148,294,530,701,772,703,645,559,588,564,377,550,306,344,294,286,210,131,132,01/27/2014
000106,20140128,P,45,30,25,42,46,121,216,364,649,659,680,755,774,836,1001,1120,1032,728,493,345,238,171,123,87,01/28/2014
000106,20140128,S,71,65,58,54,83,142,250,495,690,861,876,746,680,654,579,677,625,449,400,350,336,228,182,115,01/28/2014
000106,20140129,P,59,39,30,44,55,138,257,408,560,706,741,748,810,1010,1171,1209,1105,736,455,374,219,191,122,89,01/29/2014
000106,20140129,S,83,70,47,50,91,174,295,722,1010,1034,925,741,675,755,858,819,809,616,538,538,446,420,291,176,01/29/2014
000106,20140130,P,51,48,33,34,42,81,116,160,193,387,399,536,519,707,765,864,683,259,332,287,107,109,168,72,01/30/2014
000106,20140130,S,123,84,59,68,99,126,256,795,954,824,605,802,649,748,836,902,623,736,661,785,784,598,601,355,01/30/2014
000106,20140206,P,51,36,32,50,67,120,215,333,430,512,579,641,713,803,916,912,892,463,731,338,232,152,117,83,02/06/2014
000106,20140206,S,180,140,89,71,89,138,261,569,758,834,803,797,831,777,897,957,954,911,816,824,692,545,475,334,02/06/2014
000106,20140207,P,65,47,39,43,54,131,198,351,469,649,654,880,649,1121,1185,1402,1399,1056,756,492,298,227,145,65,02/07/2014
000106,20140207,S,224,163,103,82,95,134,263,827,832,1282,1088,1690,1026,1132,1379,1655,1720,1465,1945,1800,1633,1596,939,468,02/07/2014
000106,20140208,P,43,41,39,36,68,120,270,421,536,737,895,956,1241,1552,1522,1101,1048,1138,1455,1286,1165,419,215,108,02/08/2014
000106,20140208,S,238,115,108,91,86,142,1162,1625,1648,1457,1388,1491,1388,1057,1109,1146,1103,933,677,613,422,399,249,178,02/08/2014
000106,20140209,P,55,48,52,66,81,134,352,171,1536,1650,1946,895,1239,853,619,951,783,984,1207,835,305,482,883,380,02/09/2014
000106,20140209,S,105,72,56,37,36,84,498,67,1626,1065,858,1181,1014,959,797,752,750,541,305,385,244,214,148,107,02/09/2014
000106,20140211,P,43,29,35,42,57,170,242,597,454,978,842,875,905,1143,1405,1430,1446,974,559,359,256,157,111,77,02/11/2014
000106,20140211,S,89,79,48,54,79,145,174,1124,879,1857,1392,705,698,616,641,621,649,572,384,369,329,286,238,155,02/11/2014
