valid_at,new_24,basedepth,open_trails,open_lifts,open_percent,mon_day,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2013-11-15 07:11:00,0.0,18,3,3,3,11/15,0.0,,,,,,
2013-11-16 05:48:00,4.0,18,3,3,3,11/16,4.0,,,,,,
2013-11-17 05:44:00,12.0,24,3,3,3,11/17,16.0,,4.0,,,,
2013-11-18 05:51:00,7.0,18,3,3,3,11/18,23.0,,16.0,16.0,,,
2013-11-19 06:11:00,0.0,18,10,3,2,11/19,23.0,,19.0,23.0,23.0,,
2013-11-19 06:11:00,0.0,18,10,3,2,11/19,23.0,,7.0,19.0,23.0,23.0,
2013-11-21 05:52:00,1.0,18,10,3,7,11/21,24.0,,0.0,7.0,19.0,23.0,23.0
2013-11-22 05:45:00,3.0,18,10,3,7,11/22,27.0,24.0,1.0,1.0,8.0,20.0,24.0
2013-11-23 05:47:00,1.0,19,11,4,3,11/23,28.0,27.0,4.0,4.0,4.0,11.0,23.0
2013-11-23 05:47:00,1.0,19,11,4,3,11/23,29.0,24.0,4.0,5.0,5.0,5.0,12.0
2013-11-24 05:48:00,0.0,18,12,4,3,11/24,29.0,13.0,2.0,5.0,6.0,6.0,6.0
2013-11-25 05:59:00,2.0,18,13,3,10,11/25,31.0,6.0,1.0,2.0,5.0,6.0,6.0
2013-11-26 05:51:00,0.0,18,25,8,10,11/26,31.0,8.0,2.0,3.0,4.0,7.0,8.0
2013-11-27 06:00:00,0.0,23,30,8,21,11/27,31.0,8.0,2.0,2.0,3.0,4.0,7.0
2013-11-28 05:51:00,0.0,22,31,9,22,11/28,31.0,7.0,0.0,2.0,2.0,3.0,4.0
2013-11-29 05:42:00,0.0,22,37,9,26,11/29,31.0,4.0,0.0,0.0,2.0,2.0,3.0
2013-11-30 05:44:00,0.0,22,48,13,26,11/30,31.0,3.0,0.0,0.0,0.0,2.0,2.0
2013-12-01 05:40:00,0.0,22,49,16,35,12/1,31.0,2.0,0.0,0.0,0.0,0.0,2.0
2013-12-02 05:54:00,1.0,22,50,14,35,12/2,32.0,2.0,0.0,0.0,0.0,0.0,0.0
2013-12-03 05:58:00,2.0,23,45,12,32,12/3,34.0,1.0,1.0,1.0,1.0,1.0,1.0
