valid_at,new_24,basedepth,open_trails,open_lifts,open_percent,mon_day,tot_snow,week_snow_tot,2day_snow_tot,3day_snow_tot,4day_snow_tot,5day_snow_tot,6day_snow_tot
2012-11-14 15:44:00,0,18,4,3,3,11/14,0,,,,,,
2012-11-15 15:44:00,0,18,4,3,3,11/15,0,,,,,,
2012-11-16 11:58:00,0,18,4,3,3,11/16,0,,0.0,,,,
2012-11-17 11:58:00,1,18,4,3,3,11/17,1,,0.0,0.0,,,
2012-11-18 07:50:00,0,18,5,3,4,11/18,1,,1.0,1.0,1.0,,
2012-11-19 07:50:00,0,18,5,3,4,11/19,1,,1.0,1.0,1.0,1.0,
2012-11-20 17:58:00,0,18,2,1,2,11/20,1,,0.0,1.0,1.0,1.0,1.0
2012-11-22 09:33:00,0,18,5,7,4,11/22,1,1.0,0.0,0.0,1.0,1.0,1.0
2012-11-22 17:58:00,0,18,2,1,2,11/22,1,1.0,0.0,0.0,0.0,1.0,1.0
2012-11-24 10:53:00,0,18,5,7,4,11/24,1,1.0,0.0,0.0,0.0,0.0,1.0
2012-11-25 07:38:00,0,18,5,7,4,11/25,1,1.0,0.0,0.0,0.0,0.0,0.0
2012-11-27 10:52:00,0,18,5,7,4,11/27,1,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-30 11:29:00,0,18,7,8,5,11/30,1,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-30 11:46:00,0,18,6,8,5,11/30,1,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01 06:05:00,0,18,7,5,1,12/1,1,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-02 05:38:00,0,18,7,5,1,12/2,1,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-03 08:09:00,1,18,7,5,1,12/3,2,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-04 06:15:00,0,18,7,5,1,12/4,2,1.0,1.0,1.0,1.0,1.0,1.0
2012-12-05 05:36:00,0,18,7,5,1,12/5,2,1.0,1.0,1.0,1.0,1.0,1.0
2012-12-06 05:55:00,0,18,7,10,1,12/6,2,1.0,0.0,1.0,1.0,1.0,1.0
2012-12-07 05:46:00,1,18,7,5,1,12/7,3,1.0,0.0,0.0,1.0,1.0,1.0
2012-12-08 05:49:00,7,18,7,5,1,12/8,10,2.0,1.0,1.0,1.0,2.0,2.0
2012-12-09 09:11:00,7,18,9,10,2,12/9,17,9.0,8.0,8.0,8.0,8.0,9.0
2012-12-10 05:47:00,0,18,10,6,2,12/10,17,16.0,14.0,15.0,15.0,15.0,15.0
2012-12-11 05:45:00,3,29,14,7,2,12/11,20,15.0,7.0,14.0,15.0,15.0,15.0
2012-12-12 06:04:00,0,27,18,6,2,12/12,20,18.0,3.0,10.0,17.0,18.0,18.0
2012-12-13 05:54:00,0,27,28,10,10,12/13,20,18.0,3.0,3.0,10.0,17.0,18.0
2012-12-14 05:45:00,0,26,34,10,10,12/14,20,18.0,0.0,3.0,3.0,10.0,17.0
2012-12-15 05:53:00,2,25,37,11,11,12/15,22,17.0,0.0,0.0,3.0,3.0,10.0
2012-12-16 05:52:00,6,30,38,11,11,12/16,28,12.0,2.0,2.0,2.0,5.0,5.0
2012-12-17 05:43:00,4,32,39,11,11,12/17,32,11.0,8.0,8.0,8.0,8.0,11.0
2012-12-18 05:27:00,8,36,42,11,15,12/18,40,15.0,10.0,12.0,12.0,12.0,12.0
2012-12-19 05:47:00,2,43,52,11,17,12/19,42,20.0,12.0,18.0,20.0,20.0,20.0
2012-12-20 05:38:00,1,42,54,13,27,12/20,43,22.0,10.0,14.0,20.0,22.0,22.0
2012-12-21 05:34:00,0,40,80,15,50,12/21,43,23.0,3.0,11.0,15.0,21.0,23.0
2012-12-22 05:47:00,0,38,89,16,50,12/22,43,23.0,1.0,3.0,11.0,15.0,21.0
2012-12-22 06:06:00,0,38,84,16,50,12/22,43,21.0,0.0,1.0,3.0,11.0,15.0
2012-12-23 05:46:00,0,37,87,16,50,12/23,43,15.0,0.0,0.0,1.0,3.0,11.0
2012-12-24 05:32:00,0,36,90,16,50,12/24,43,11.0,0.0,0.0,0.0,1.0,3.0
2012-12-25 05:42:00,3,37,94,17,51,12/25,46,3.0,0.0,0.0,0.0,0.0,1.0
2012-12-26 06:16:00,3,39,95,21,51,12/26,49,4.0,3.0,3.0,3.0,3.0,3.0
2012-12-27 05:48:00,8,45,97,21,51,12/27,57,6.0,6.0,6.0,6.0,6.0,6.0
2012-12-28 05:46:00,6,47,112,22,57,12/28,63,14.0,11.0,14.0,14.0,14.0,14.0
2012-12-29 05:40:00,1,43,113,21,57,12/29,64,20.0,14.0,17.0,20.0,20.0,20.0
2012-12-30 05:40:00,0,45,115,22,60,12/30,64,21.0,7.0,15.0,18.0,21.0,21.0
2012-12-31 05:41:00,0,42,117,22,60,12/31,64,21.0,1.0,7.0,15.0,18.0,21.0
2013-01-01 06:01:00,3,42,117,23,60,1/1,67,21.0,0.0,1.0,7.0,15.0,18.0
2013-01-02 05:43:00,1,43,117,23,60,1/2,68,21.0,3.0,3.0,4.0,10.0,18.0
2013-01-03 05:55:00,0,43,118,23,60,1/3,68,19.0,4.0,4.0,4.0,5.0,11.0
2013-01-04 06:01:00,0,40,118,23,60,1/4,68,11.0,1.0,4.0,4.0,4.0,5.0
2013-01-05 06:01:00,0,39,123,23,60,1/5,68,5.0,0.0,1.0,4.0,4.0,4.0
